Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,10.0|10.0|,90;10;0|90;10;0|,86;14;0|86;14;0|,86;14;0|86;14;0|,100|100|,0;0;0|0;0;0|,100|100|,86;14;0|86;14;0|,86;14;0|86;14;0|,100|100|,100|100|
1,100|100|,86;14;0|86;14;0|,9.9|9.9|,86;14;0|86;14;0|,79;21;0|79;21;0|,79;21;0|79;21;0|,100|100|,0;0;0|0;0;0|,100|100|,79;21;0|79;21;0|,79;21;0|79;21;0|,100|100|,100|100|
2,100|100|,79;21;0|79;21;0|,10.52|10.52|,79;21;0|79;21;0|,73;25;2|73;25;2|,73;25;2|73;25;2|,100|100|,0;0;0|0;0;0|,100|100|,73;25;2|73;25;2|,73;25;2|73;25;2|,100|100|,100|100|
3,100|100|,73;25;2|73;25;2|,11.44|11.44|,73;25;2|73;25;2|,65;32;3|65;32;3|,65;32;3|65;32;3|,100|100|,0;0;0|0;0;0|,100|100|,65;32;3|65;32;3|,65;32;3|65;32;3|,100|100|,100|100|
4,100|100|,65;32;3|65;32;3|,12.92|12.92|,65;32;3|65;32;3|,53;42;5|53;42;5|,53;42;5|53;42;5|,100|100|,0;0;0|0;0;0|,100|100|,53;42;5|53;42;5|,53;42;5|53;42;5|,100|100|,100|100|
5,100|100|,53;42;5|53;42;5|,15.18|15.18|,53;42;5|53;42;5|,50;41;9|50;41;9|,50;41;9|50;41;9|,100|100|,0;0;0|0;0;0|,100|100|,50;41;9|50;41;9|,50;41;9|50;41;9|,100|100|,100|100|
6,100|100|,50;41;9|50;41;9|,17.01|17.01|,50;41;9|50;41;9|,46;42;12|46;42;12|,46;42;12|46;42;12|,100|100|,0;0;0|0;0;0|,100|100|,46;42;12|46;42;12|,46;42;12|46;42;12|,100|100|,100|100|
7,100|100|,46;42;12|46;42;12|,18.66|18.66|,46;42;12|46;42;12|,41;43;16|41;43;16|,41;43;16|41;43;16|,100|100|,0;0;0|0;0;0|,100|100|,41;43;16|41;43;16|,41;43;16|41;43;16|,100|100|,100|100|
8,100|100|,41;43;16|41;43;16|,20.16|20.16|,41;43;16|41;43;16|,33;46;21|33;46;21|,33;46;21|33;46;21|,100|100|,0;0;0|0;0;0|,100|100|,33;46;21|33;46;21|,33;46;21|33;46;21|,100|100|,100|100|
9,100|100|,33;46;21|33;46;21|,21.73|21.73|,33;46;21|33;46;21|,24;53;23|24;53;23|,24;53;23|24;53;23|,100|100|,0;0;0|0;0;0|,100|100|,24;53;23|24;53;23|,24;53;23|24;53;23|,100|100|,100|100|
10,100|100|,24;53;23|24;53;23|,23.77|23.77|,24;53;23|24;53;23|,18;55;27|18;55;27|,18;55;27|18;55;27|,100|100|,0;0;0|0;0;0|,100|100|,18;55;27|18;55;27|,18;55;27|18;55;27|,100|100|,100|100|
