Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,10.0|10.0|,90;10;0|90;10;0|,85;13;2|85;13;2|,85;13;2|85;13;2|,100|100|,0;0;0|0;0;0|,100|100|,85;13;2|85;13;2|,85;13;2|85;13;2|,100|100|,100|100|
1,100|100|,85;13;2|85;13;2|,9.8|9.8|,85;13;2|85;13;2|,80;18;2|80;18;2|,80;18;2|80;18;2|,100|100|,0;0;0|0;0;0|,100|100|,80;18;2|80;18;2|,80;18;2|80;18;2|,100|100|,100|100|
2,100|100|,80;18;2|80;18;2|,10.13|10.13|,80;18;2|80;18;2|,73;24;3|73;24;3|,73;24;3|73;24;3|,100|100|,0;0;0|0;0;0|,100|100|,73;24;3|73;24;3|,73;24;3|73;24;3|,100|100|,100|100|
3,100|100|,73;24;3|73;24;3|,11.01|11.01|,73;24;3|73;24;3|,64;30;6|64;30;6|,64;30;6|64;30;6|,100|100|,0;0;0|0;0;0|,100|100|,64;30;6|64;30;6|,64;30;6|64;30;6|,100|100|,100|100|
4,100|100|,64;30;6|64;30;6|,12.36|12.36|,64;30;6|64;30;6|,62;29;9|62;29;9|,62;29;9|62;29;9|,100|100|,0;0;0|0;0;0|,100|100|,62;29;9|62;29;9|,62;29;9|62;29;9|,100|100|,100|100|
5,100|100|,62;29;9|62;29;9|,13.41|13.41|,62;29;9|62;29;9|,55;35;10|55;35;10|,55;35;10|55;35;10|,100|100|,0;0;0|0;0;0|,100|100|,55;35;10|55;35;10|,55;35;10|55;35;10|,100|100|,100|100|
6,100|100|,55;35;10|55;35;10|,14.89|14.89|,55;35;10|55;35;10|,45;42;13|45;42;13|,45;42;13|45;42;13|,100|100|,0;0;0|0;0;0|,100|100|,45;42;13|45;42;13|,45;42;13|45;42;13|,100|100|,100|100|
7,100|100|,45;42;13|45;42;13|,16.86|16.86|,45;42;13|45;42;13|,38;47;15|38;47;15|,38;47;15|38;47;15|,100|100|,0;0;0|0;0;0|,100|100|,38;47;15|38;47;15|,38;47;15|38;47;15|,100|100|,100|100|
8,100|100|,38;47;15|38;47;15|,19.03|19.03|,38;47;15|38;47;15|,29;54;17|29;54;17|,29;54;17|29;54;17|,100|100|,0;0;0|0;0;0|,100|100|,29;54;17|29;54;17|,29;54;17|29;54;17|,100|100|,100|100|
9,100|100|,29;54;17|29;54;17|,21.58|21.58|,29;54;17|29;54;17|,20;61;19|20;61;19|,20;61;19|20;61;19|,100|100|,0;0;0|0;0;0|,100|100|,20;61;19|20;61;19|,20;61;19|20;61;19|,100|100|,100|100|
10,100|100|,20;61;19|20;61;19|,24.44|24.44|,20;61;19|20;61;19|,18;62;20|18;62;20|,18;62;20|18;62;20|,100|100|,0;0;0|0;0;0|,100|100|,18;62;20|18;62;20|,18;62;20|18;62;20|,100|100|,100|100|
11,100|100|,18;62;20|18;62;20|,26.97|26.97|,18;62;20|18;62;20|,13;64;23|13;64;23|,13;64;23|13;64;23|,100|100|,0;0;0|0;0;0|,100|100|,13;64;23|13;64;23|,13;64;23|13;64;23|,100|100|,100|100|
12,100|100|,13;64;23|13;64;23|,29.33|29.33|,13;64;23|13;64;23|,10;64;26|10;64;26|,10;64;26|10;64;26|,100|100|,0;0;0|0;0;0|,100|100|,10;64;26|10;64;26|,10;64;26|10;64;26|,100|100|,100|100|
13,100|100|,10;64;26|10;64;26|,31.33|31.33|,10;64;26|10;64;26|,8;64;28|8;64;28|,8;64;28|8;64;28|,100|100|,0;0;0|0;0;0|,100|100|,8;64;28|8;64;28|,8;64;28|8;64;28|,100|100|,100|100|
14,100|100|,8;64;28|8;64;28|,33.03|33.03|,8;64;28|8;64;28|,6;61;33|6;61;33|,6;61;33|6;61;33|,100|100|,0;0;0|0;0;0|,100|100|,6;61;33|6;61;33|,6;61;33|6;61;33|,100|100|,100|100|
15,100|100|,6;61;33|6;61;33|,34.17|34.17|,6;61;33|6;61;33|,4;62;34|4;62;34|,4;62;34|4;62;34|,100|100|,0;0;0|0;0;0|,100|100|,4;62;34|4;62;34|,4;62;34|4;62;34|,100|100|,100|100|
16,100|100|,4;62;34|4;62;34|,35.25|35.25|,4;62;34|4;62;34|,3;63;34|3;63;34|,3;63;34|3;63;34|,100|100|,0;0;0|0;0;0|,100|100|,3;63;34|3;63;34|,3;63;34|3;63;34|,100|100|,100|100|
17,100|100|,3;63;34|3;63;34|,36.26|36.26|,3;63;34|3;63;34|,2;63;35|2;63;35|,2;63;35|2;63;35|,100|100|,0;0;0|0;0;0|,100|100|,2;63;35|2;63;35|,2;63;35|2;63;35|,100|100|,100|100|
18,100|100|,2;63;35|2;63;35|,37.12|37.12|,2;63;35|2;63;35|,2;63;35|2;63;35|,2;63;35|2;63;35|,100|100|,0;0;0|0;0;0|,100|100|,2;63;35|2;63;35|,2;63;35|2;63;35|,100|100|,100|100|
19,100|100|,2;63;35|2;63;35|,37.85|37.85|,2;63;35|2;63;35|,1;62;37|1;62;37|,1;62;37|1;62;37|,100|100|,0;0;0|0;0;0|,100|100|,1;62;37|1;62;37|,1;62;37|1;62;37|,100|100|,100|100|
20,100|100|,1;62;37|1;62;37|,38.38|38.38|,1;62;37|1;62;37|,0;58;42|0;58;42|,0;58;42|0;58;42|,100|100|,0;0;0|0;0;0|,100|100|,0;58;42|0;58;42|,0;58;42|0;58;42|,100|100|,100|100|
21,100|100|,0;58;42|0;58;42|,38.42|38.42|,0;58;42|0;58;42|,0;55;45|0;55;45|,0;55;45|0;55;45|,100|100|,0;0;0|0;0;0|,100|100|,0;55;45|0;55;45|,0;55;45|0;55;45|,100|100|,100|100|
22,100|100|,0;55;45|0;55;45|,38.16|38.16|,0;55;45|0;55;45|,0;55;45|0;55;45|,0;55;45|0;55;45|,100|100|,0;0;0|0;0;0|,100|100|,0;55;45|0;55;45|,0;55;45|0;55;45|,100|100|,100|100|
23,100|100|,0;55;45|0;55;45|,37.93|37.93|,0;55;45|0;55;45|,0;51;49|0;51;49|,0;51;49|0;51;49|,100|100|,0;0;0|0;0;0|,100|100|,0;51;49|0;51;49|,0;51;49|0;51;49|,100|100|,100|100|
24,100|100|,0;51;49|0;51;49|,37.34|37.34|,0;51;49|0;51;49|,0;51;49|0;51;49|,0;51;49|0;51;49|,100|100|,0;0;0|0;0;0|,100|100|,0;51;49|0;51;49|,0;51;49|0;51;49|,100|100|,100|100|
