Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;0;12;0|88;0;12;0|,0.0|0.0|,88;0;12;0|88;0;12;0|,83;5;9;3|83;5;9;3|,83;5;9;3|83;5;9;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;5;9;3|83;5;9;3|,83;5;9;3|83;5;9;3|,100|100|,100|100|
1,100|100|,83;5;9;3|83;5;9;3|,0.0|0.0|,83;5;9;3|83;5;9;3|,80;6;10;4|80;6;10;4|,80;6;10;4|80;6;10;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;6;10;4|80;6;10;4|,80;6;10;4|80;6;10;4|,100|100|,100|100|
2,100|100|,80;6;10;4|80;6;10;4|,0.0|0.0|,80;6;10;4|80;6;10;4|,77;5;12;6|77;5;12;6|,77;5;12;6|77;5;12;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;5;12;6|77;5;12;6|,77;5;12;6|77;5;12;6|,100|100|,100|100|
3,100|100|,77;5;12;6|77;5;12;6|,0.0|0.0|,77;5;12;6|77;5;12;6|,71;10;11;8|71;10;11;8|,71;10;11;8|71;10;11;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;10;11;8|71;10;11;8|,71;10;11;8|71;10;11;8|,100|100|,100|100|
4,100|100|,71;10;11;8|71;10;11;8|,0.0|0.0|,71;10;11;8|71;10;11;8|,69;5;16;10|69;5;16;10|,69;5;16;10|69;5;16;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,69;5;16;10|69;5;16;10|,69;5;16;10|69;5;16;10|,100|100|,100|100|
5,100|100|,69;5;16;10|69;5;16;10|,0.0|0.0|,69;5;16;10|69;5;16;10|,61;11;13;15|61;11;13;15|,61;11;13;15|61;11;13;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,61;11;13;15|61;11;13;15|,61;11;13;15|61;11;13;15|,100|100|,100|100|
6,100|100|,61;11;13;15|61;11;13;15|,0.0|0.0|,61;11;13;15|61;11;13;15|,56;9;18;17|56;9;18;17|,56;9;18;17|56;9;18;17|,100|100|,0;0;0;0|0;0;0;0|,100|100|,56;9;18;17|56;9;18;17|,56;9;18;17|56;9;18;17|,100|100|,100|100|
7,100|100|,56;9;18;17|56;9;18;17|,0.0|0.0|,56;9;18;17|56;9;18;17|,55;6;17;22|55;6;17;22|,55;6;17;22|55;6;17;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,55;6;17;22|55;6;17;22|,55;6;17;22|55;6;17;22|,100|100|,100|100|
8,100|100|,55;6;17;22|55;6;17;22|,0.0|0.0|,55;6;17;22|55;6;17;22|,50;9;14;27|50;9;14;27|,50;9;14;27|50;9;14;27|,100|100|,0;0;0;0|0;0;0;0|,100|100|,50;9;14;27|50;9;14;27|,50;9;14;27|50;9;14;27|,100|100|,100|100|
9,100|100|,50;9;14;27|50;9;14;27|,0.0|0.0|,50;9;14;27|50;9;14;27|,45;7;17;31|45;7;17;31|,45;7;17;31|45;7;17;31|,100|100|,0;0;0;0|0;0;0;0|,100|100|,45;7;17;31|45;7;17;31|,45;7;17;31|45;7;17;31|,100|100|,100|100|
10,100|100|,45;7;17;31|45;7;17;31|,0.0|0.0|,45;7;17;31|45;7;17;31|,42;9;16;33|42;9;16;33|,42;9;16;33|42;9;16;33|,100|100|,0;0;0;0|0;0;0;0|,100|100|,42;9;16;33|42;9;16;33|,42;9;16;33|42;9;16;33|,100|100|,100|100|
11,100|100|,42;9;16;33|42;9;16;33|,0.0|0.0|,42;9;16;33|42;9;16;33|,37;8;18;37|37;8;18;37|,37;8;18;37|37;8;18;37|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;8;18;37|37;8;18;37|,37;8;18;37|37;8;18;37|,100|100|,100|100|
12,100|100|,37;8;18;37|37;8;18;37|,0.0|0.0|,37;8;18;37|37;8;18;37|,35;6;18;41|35;6;18;41|,35;6;18;41|35;6;18;41|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;6;18;41|35;6;18;41|,35;6;18;41|35;6;18;41|,100|100|,100|100|
13,100|100|,35;6;18;41|35;6;18;41|,0.0|0.0|,35;6;18;41|35;6;18;41|,30;9;16;45|30;9;16;45|,30;9;16;45|30;9;16;45|,100|100|,0;0;0;0|0;0;0;0|,100|100|,30;9;16;45|30;9;16;45|,30;9;16;45|30;9;16;45|,100|100|,100|100|
14,100|100|,30;9;16;45|30;9;16;45|,0.0|0.0|,30;9;16;45|30;9;16;45|,28;5;21;46|28;5;21;46|,28;5;21;46|28;5;21;46|,100|100|,0;0;0;0|0;0;0;0|,100|100|,28;5;21;46|28;5;21;46|,28;5;21;46|28;5;21;46|,100|100|,100|100|
15,100|100|,28;5;21;46|28;5;21;46|,0.0|0.0|,28;5;21;46|28;5;21;46|,26;3;24;47|26;3;24;47|,26;3;24;47|26;3;24;47|,100|100|,0;0;0;0|0;0;0;0|,100|100|,26;3;24;47|26;3;24;47|,26;3;24;47|26;3;24;47|,100|100|,100|100|
16,100|100|,26;3;24;47|26;3;24;47|,0.0|0.0|,26;3;24;47|26;3;24;47|,22;5;21;52|22;5;21;52|,22;5;21;52|22;5;21;52|,100|100|,0;0;0;0|0;0;0;0|,100|100|,22;5;21;52|22;5;21;52|,22;5;21;52|22;5;21;52|,100|100|,100|100|
17,100|100|,22;5;21;52|22;5;21;52|,0.0|0.0|,22;5;21;52|22;5;21;52|,20;3;20;57|20;3;20;57|,20;3;20;57|20;3;20;57|,100|100|,0;0;0;0|0;0;0;0|,100|100|,20;3;20;57|20;3;20;57|,20;3;20;57|20;3;20;57|,100|100|,100|100|
18,100|100|,20;3;20;57|20;3;20;57|,0.0|0.0|,20;3;20;57|20;3;20;57|,16;5;20;59|16;5;20;59|,16;5;20;59|16;5;20;59|,100|100|,0;0;0;0|0;0;0;0|,100|100|,16;5;20;59|16;5;20;59|,16;5;20;59|16;5;20;59|,100|100|,100|100|
19,100|100|,16;5;20;59|16;5;20;59|,0.0|0.0|,16;5;20;59|16;5;20;59|,15;2;20;63|15;2;20;63|,15;2;20;63|15;2;20;63|,100|100|,0;0;0;0|0;0;0;0|,100|100|,15;2;20;63|15;2;20;63|,15;2;20;63|15;2;20;63|,100|100|,100|100|
20,100|100|,15;2;20;63|15;2;20;63|,0.0|0.0|,15;2;20;63|15;2;20;63|,13;2;17;68|13;2;17;68|,13;2;17;68|13;2;17;68|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;2;17;68|13;2;17;68|,13;2;17;68|13;2;17;68|,100|100|,100|100|
