Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;8;0|92;8;0|,0.0|0.0|,92;8;0|92;8;0|,91;9;0|91;9;0|,91;9;0|91;9;0|,100|100|,0;0;0|0;0;0|,100|100|,91;9;0|91;9;0|,91;9;0|91;9;0|,100|100|,100|100|
1,100|100|,91;9;0|91;9;0|,0.0|0.0|,91;9;0|91;9;0|,89;9;2|89;9;2|,89;9;2|89;9;2|,100|100|,0;0;0|0;0;0|,100|100|,89;9;2|89;9;2|,89;9;2|89;9;2|,100|100|,100|100|
2,100|100|,89;9;2|89;9;2|,0.0|0.0|,89;9;2|89;9;2|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,0;0;0|0;0;0|,100|100|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,100|100|
3,100|100|,87;10;3|87;10;3|,0.0|0.0|,87;10;3|87;10;3|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,0;0;0|0;0;0|,100|100|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,100|100|
4,100|100|,81;15;4|81;15;4|,0.0|0.0|,81;15;4|81;15;4|,76;16;8|76;16;8|,76;16;8|76;16;8|,100|100|,0;0;0|0;0;0|,100|100|,76;16;8|76;16;8|,76;16;8|76;16;8|,100|100|,100|100|
5,100|100|,76;16;8|76;16;8|,0.0|0.0|,76;16;8|76;16;8|,72;15;13|72;15;13|,72;15;13|72;15;13|,100|100|,0;0;0|0;0;0|,100|100|,72;15;13|72;15;13|,72;15;13|72;15;13|,100|100|,100|100|
6,100|100|,72;15;13|72;15;13|,0.0|0.0|,72;15;13|72;15;13|,66;19;15|66;19;15|,66;19;15|66;19;15|,100|100|,0;0;0|0;0;0|,100|100|,66;19;15|66;19;15|,66;19;15|66;19;15|,100|100|,100|100|
7,100|100|,66;19;15|66;19;15|,0.0|0.0|,66;19;15|66;19;15|,62;16;22|62;16;22|,62;16;22|62;16;22|,100|100|,0;0;0|0;0;0|,100|100|,62;16;22|62;16;22|,62;16;22|62;16;22|,100|100|,100|100|
8,100|100|,62;16;22|62;16;22|,0.0|0.0|,62;16;22|62;16;22|,56;20;24|56;20;24|,56;20;24|56;20;24|,100|100|,0;0;0|0;0;0|,100|100|,56;20;24|56;20;24|,56;20;24|56;20;24|,100|100|,100|100|
9,100|100|,56;20;24|56;20;24|,0.0|0.0|,56;20;24|56;20;24|,49;21;30|49;21;30|,49;21;30|49;21;30|,100|100|,0;0;0|0;0;0|,100|100|,49;21;30|49;21;30|,49;21;30|49;21;30|,100|100|,100|100|
10,100|100|,49;21;30|49;21;30|,0.0|0.0|,49;21;30|49;21;30|,44;24;32|44;24;32|,44;24;32|44;24;32|,100|100|,0;0;0|0;0;0|,100|100|,44;24;32|44;24;32|,44;24;32|44;24;32|,100|100|,100|100|
