Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,86;14;0|86;14;0|,86;14;0|86;14;0|,81;18;1|81;18;1|,81;18;1|81;18;1|,100|100|,0;0;0|0;0;0|,100|100|,81;18;1|81;18;1|,81;18;1|81;18;1|,100|100|,100|100|
1,100|100|,81;18;1|81;18;1|,81;18;1|81;18;1|,73;22;5|73;22;5|,73;22;5|73;22;5|,100|100|,0;0;0|0;0;0|,100|100|,73;22;5|73;22;5|,73;22;5|73;22;5|,100|100|,100|100|
2,100|100|,73;22;5|73;22;5|,73;22;5|73;22;5|,63;25;12|63;25;12|,63;25;12|63;25;12|,100|100|,0;0;0|0;0;0|,100|100|,63;25;12|63;25;12|,63;25;12|63;25;12|,100|100|,100|100|
3,100|100|,63;25;12|63;25;12|,63;25;12|63;25;12|,54;27;19|54;27;19|,54;27;19|54;27;19|,100|100|,0;0;0|0;0;0|,100|100|,54;27;19|54;27;19|,54;27;19|54;27;19|,100|100|,100|100|
4,100|100|,54;27;19|54;27;19|,54;27;19|54;27;19|,48;29;23|48;29;23|,48;29;23|48;29;23|,100|100|,0;0;0|0;0;0|,100|100|,48;29;23|48;29;23|,48;29;23|48;29;23|,100|100|,100|100|
5,100|100|,48;29;23|48;29;23|,48;29;23|48;29;23|,41;31;28|41;31;28|,41;31;28|41;31;28|,100|100|,0;0;0|0;0;0|,100|100|,41;31;28|41;31;28|,41;31;28|41;31;28|,100|100|,100|100|
6,100|100|,41;31;28|41;31;28|,41;31;28|41;31;28|,35;32;33|35;32;33|,35;32;33|35;32;33|,100|100|,0;0;0|0;0;0|,100|100|,35;32;33|35;32;33|,35;32;33|35;32;33|,100|100|,100|100|
7,100|100|,35;32;33|35;32;33|,35;32;33|35;32;33|,32;29;39|32;29;39|,32;29;39|32;29;39|,100|100|,0;0;0|0;0;0|,100|100|,32;29;39|32;29;39|,32;29;39|32;29;39|,100|100|,100|100|
8,100|100|,32;29;39|32;29;39|,32;29;39|32;29;39|,27;26;47|27;26;47|,27;26;47|27;26;47|,100|100|,0;0;0|0;0;0|,100|100|,27;26;47|27;26;47|,27;26;47|27;26;47|,100|100|,100|100|
9,100|100|,27;26;47|27;26;47|,27;26;47|27;26;47|,21;28;51|21;28;51|,21;28;51|21;28;51|,100|100|,0;0;0|0;0;0|,100|100|,21;28;51|21;28;51|,21;28;51|21;28;51|,100|100|,100|100|
10,100|100|,21;28;51|21;28;51|,21;28;51|21;28;51|,18;24;58|18;24;58|,18;24;58|18;24;58|,100|100|,0;0;0|0;0;0|,100|100|,18;24;58|18;24;58|,18;24;58|18;24;58|,100|100|,100|100|
11,100|100|,18;24;58|18;24;58|,18;24;58|18;24;58|,18;21;61|18;21;61|,18;21;61|18;21;61|,100|100|,0;0;0|0;0;0|,100|100|,18;21;61|18;21;61|,18;21;61|18;21;61|,100|100|,100|100|
12,100|100|,18;21;61|18;21;61|,18;21;61|18;21;61|,17;16;67|17;16;67|,17;16;67|17;16;67|,100|100|,0;0;0|0;0;0|,100|100|,17;16;67|17;16;67|,17;16;67|17;16;67|,100|100|,100|100|
13,100|100|,17;16;67|17;16;67|,17;16;67|17;16;67|,17;14;69|17;14;69|,17;14;69|17;14;69|,100|100|,0;0;0|0;0;0|,100|100|,17;14;69|17;14;69|,17;14;69|17;14;69|,100|100|,100|100|
14,100|100|,17;14;69|17;14;69|,17;14;69|17;14;69|,15;14;71|15;14;71|,15;14;71|15;14;71|,100|100|,0;0;0|0;0;0|,100|100|,15;14;71|15;14;71|,15;14;71|15;14;71|,100|100|,100|100|
15,100|100|,15;14;71|15;14;71|,15;14;71|15;14;71|,14;13;73|14;13;73|,14;13;73|14;13;73|,100|100|,0;0;0|0;0;0|,100|100|,14;13;73|14;13;73|,14;13;73|14;13;73|,100|100|,100|100|
16,100|100|,14;13;73|14;13;73|,14;13;73|14;13;73|,11;12;77|11;12;77|,11;12;77|11;12;77|,100|100|,0;0;0|0;0;0|,100|100|,11;12;77|11;12;77|,11;12;77|11;12;77|,100|100|,100|100|
17,100|100|,11;12;77|11;12;77|,11;12;77|11;12;77|,11;10;79|11;10;79|,11;10;79|11;10;79|,100|100|,0;0;0|0;0;0|,100|100|,11;10;79|11;10;79|,11;10;79|11;10;79|,100|100|,100|100|
18,100|100|,11;10;79|11;10;79|,11;10;79|11;10;79|,11;8;81|11;8;81|,11;8;81|11;8;81|,100|100|,0;0;0|0;0;0|,100|100|,11;8;81|11;8;81|,11;8;81|11;8;81|,100|100|,100|100|
19,100|100|,11;8;81|11;8;81|,11;8;81|11;8;81|,11;5;84|11;5;84|,11;5;84|11;5;84|,100|100|,0;0;0|0;0;0|,100|100|,11;5;84|11;5;84|,11;5;84|11;5;84|,100|100|,100|100|
20,100|100|,11;5;84|11;5;84|,11;5;84|11;5;84|,11;3;86|11;3;86|,11;3;86|11;3;86|,100|100|,0;0;0|0;0;0|,100|100|,11;3;86|11;3;86|,11;3;86|11;3;86|,100|100|,100|100|
21,100|100|,11;3;86|11;3;86|,11;3;86|11;3;86|,11;3;86|11;3;86|,11;3;86|11;3;86|,100|100|,0;0;0|0;0;0|,100|100|,11;3;86|11;3;86|,11;3;86|11;3;86|,100|100|,100|100|
22,100|100|,11;3;86|11;3;86|,11;3;86|11;3;86|,10;4;86|10;4;86|,10;4;86|10;4;86|,100|100|,0;0;0|0;0;0|,100|100|,10;4;86|10;4;86|,10;4;86|10;4;86|,100|100|,100|100|
23,100|100|,10;4;86|10;4;86|,10;4;86|10;4;86|,10;3;87|10;3;87|,10;3;87|10;3;87|,100|100|,0;0;0|0;0;0|,100|100|,10;3;87|10;3;87|,10;3;87|10;3;87|,100|100|,100|100|
24,100|100|,10;3;87|10;3;87|,10;3;87|10;3;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
25,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;2;89|9;2;89|,9;2;89|9;2;89|,100|100|,0;0;0|0;0;0|,100|100|,9;2;89|9;2;89|,9;2;89|9;2;89|,100|100|,100|100|
