Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,96;4;0|96;4;0|,0.0|0.0|,96;4;0|96;4;0|,96;2;2|96;2;2|,96;2;2|96;2;2|,100|100|,0;0;0|0;0;0|,100|100|,96;2;2|96;2;2|,96;2;2|96;2;2|,100|100|,100|100|
1,100|100|,96;2;2|96;2;2|,0.0|0.0|,96;2;2|96;2;2|,96;2;2|96;2;2|,96;2;2|96;2;2|,100|100|,0;0;0|0;0;0|,100|100|,96;2;2|96;2;2|,96;2;2|96;2;2|,100|100|,100|100|
2,100|100|,96;2;2|96;2;2|,0.0|0.0|,96;2;2|96;2;2|,95;3;2|95;3;2|,95;3;2|95;3;2|,100|100|,0;0;0|0;0;0|,100|100|,95;3;2|95;3;2|,95;3;2|95;3;2|,100|100|,100|100|
3,100|100|,95;3;2|95;3;2|,0.0|0.0|,95;3;2|95;3;2|,93;3;4|93;3;4|,93;3;4|93;3;4|,100|100|,0;0;0|0;0;0|,100|100|,93;3;4|93;3;4|,93;3;4|93;3;4|,100|100|,100|100|
4,100|100|,93;3;4|93;3;4|,0.0|0.0|,93;3;4|93;3;4|,92;2;6|92;2;6|,92;2;6|92;2;6|,100|100|,0;0;0|0;0;0|,100|100|,92;2;6|92;2;6|,92;2;6|92;2;6|,100|100|,100|100|
5,100|100|,92;2;6|92;2;6|,0.0|0.0|,92;2;6|92;2;6|,92;2;6|92;2;6|,92;2;6|92;2;6|,100|100|,0;0;0|0;0;0|,100|100|,92;2;6|92;2;6|,92;2;6|92;2;6|,100|100|,100|100|
6,100|100|,92;2;6|92;2;6|,0.0|0.0|,92;2;6|92;2;6|,92;1;7|92;1;7|,92;1;7|92;1;7|,100|100|,0;0;0|0;0;0|,100|100|,92;1;7|92;1;7|,92;1;7|92;1;7|,100|100|,100|100|
7,100|100|,92;1;7|92;1;7|,0.0|0.0|,92;1;7|92;1;7|,92;1;7|92;1;7|,92;1;7|92;1;7|,100|100|,0;0;0|0;0;0|,100|100|,92;1;7|92;1;7|,92;1;7|92;1;7|,100|100|,100|100|
8,100|100|,92;1;7|92;1;7|,0.0|0.0|,92;1;7|92;1;7|,91;2;7|91;2;7|,91;2;7|91;2;7|,100|100|,0;0;0|0;0;0|,100|100|,91;2;7|91;2;7|,91;2;7|91;2;7|,100|100|,100|100|
9,100|100|,91;2;7|91;2;7|,0.0|0.0|,91;2;7|91;2;7|,91;1;8|91;1;8|,91;1;8|91;1;8|,100|100|,0;0;0|0;0;0|,100|100|,91;1;8|91;1;8|,91;1;8|91;1;8|,100|100|,100|100|
10,100|100|,91;1;8|91;1;8|,0.0|0.0|,91;1;8|91;1;8|,91;1;8|91;1;8|,91;1;8|91;1;8|,100|100|,0;0;0|0;0;0|,100|100|,91;1;8|91;1;8|,91;1;8|91;1;8|,100|100|,100|100|
11,100|100|,91;1;8|91;1;8|,0.0|0.0|,91;1;8|91;1;8|,91;1;8|91;1;8|,91;1;8|91;1;8|,100|100|,0;0;0|0;0;0|,100|100|,91;1;8|91;1;8|,91;1;8|91;1;8|,100|100|,100|100|
12,100|100|,91;1;8|91;1;8|,0.0|0.0|,91;1;8|91;1;8|,90;2;8|90;2;8|,90;2;8|90;2;8|,100|100|,0;0;0|0;0;0|,100|100|,90;2;8|90;2;8|,90;2;8|90;2;8|,100|100|,100|100|
13,100|100|,90;2;8|90;2;8|,0.0|0.0|,90;2;8|90;2;8|,89;2;9|89;2;9|,89;2;9|89;2;9|,100|100|,0;0;0|0;0;0|,100|100|,89;2;9|89;2;9|,89;2;9|89;2;9|,100|100|,100|100|
14,100|100|,89;2;9|89;2;9|,0.0|0.0|,89;2;9|89;2;9|,87;3;10|87;3;10|,87;3;10|87;3;10|,100|100|,0;0;0|0;0;0|,100|100|,87;3;10|87;3;10|,87;3;10|87;3;10|,100|100|,100|100|
15,100|100|,87;3;10|87;3;10|,0.0|0.0|,87;3;10|87;3;10|,87;3;10|87;3;10|,87;3;10|87;3;10|,100|100|,0;0;0|0;0;0|,100|100|,87;3;10|87;3;10|,87;3;10|87;3;10|,100|100|,100|100|
16,100|100|,87;3;10|87;3;10|,0.0|0.0|,87;3;10|87;3;10|,84;5;11|84;5;11|,84;5;11|84;5;11|,100|100|,0;0;0|0;0;0|,100|100|,84;5;11|84;5;11|,84;5;11|84;5;11|,100|100|,100|100|
17,100|100|,84;5;11|84;5;11|,0.0|0.0|,84;5;11|84;5;11|,82;7;11|82;7;11|,82;7;11|82;7;11|,100|100|,0;0;0|0;0;0|,100|100|,82;7;11|82;7;11|,82;7;11|82;7;11|,100|100|,100|100|
18,100|100|,82;7;11|82;7;11|,0.0|0.0|,82;7;11|82;7;11|,79;10;11|79;10;11|,79;10;11|79;10;11|,100|100|,0;0;0|0;0;0|,100|100|,79;10;11|79;10;11|,79;10;11|79;10;11|,100|100|,100|100|
19,100|100|,79;10;11|79;10;11|,0.0|0.0|,79;10;11|79;10;11|,76;11;13|76;11;13|,76;11;13|76;11;13|,100|100|,0;0;0|0;0;0|,100|100|,76;11;13|76;11;13|,76;11;13|76;11;13|,100|100|,100|100|
20,100|100|,76;11;13|76;11;13|,0.0|0.0|,76;11;13|76;11;13|,71;15;14|71;15;14|,71;15;14|71;15;14|,100|100|,0;0;0|0;0;0|,100|100|,71;15;14|71;15;14|,71;15;14|71;15;14|,100|100|,100|100|
21,100|100|,71;15;14|71;15;14|,0.0|0.0|,71;15;14|71;15;14|,62;19;19|62;19;19|,62;19;19|62;19;19|,100|100|,0;0;0|0;0;0|,100|100|,62;19;19|62;19;19|,62;19;19|62;19;19|,100|100|,100|100|
22,100|100|,62;19;19|62;19;19|,0.0|0.0|,62;19;19|62;19;19|,58;18;24|58;18;24|,58;18;24|58;18;24|,100|100|,0;0;0|0;0;0|,100|100|,58;18;24|58;18;24|,58;18;24|58;18;24|,100|100|,100|100|
23,100|100|,58;18;24|58;18;24|,0.0|0.0|,58;18;24|58;18;24|,53;20;27|53;20;27|,53;20;27|53;20;27|,100|100|,0;0;0|0;0;0|,100|100|,53;20;27|53;20;27|,53;20;27|53;20;27|,100|100|,100|100|
24,100|100|,53;20;27|53;20;27|,0.0|0.0|,53;20;27|53;20;27|,50;17;33|50;17;33|,50;17;33|50;17;33|,100|100|,0;0;0|0;0;0|,100|100|,50;17;33|50;17;33|,50;17;33|50;17;33|,100|100|,100|100|
25,100|100|,50;17;33|50;17;33|,0.0|0.0|,50;17;33|50;17;33|,44;15;41|44;15;41|,44;15;41|44;15;41|,100|100|,0;0;0|0;0;0|,100|100|,44;15;41|44;15;41|,44;15;41|44;15;41|,100|100|,100|100|
26,100|100|,44;15;41|44;15;41|,0.0|0.0|,44;15;41|44;15;41|,43;13;44|43;13;44|,43;13;44|43;13;44|,100|100|,0;0;0|0;0;0|,100|100|,43;13;44|43;13;44|,43;13;44|43;13;44|,100|100|,100|100|
27,100|100|,43;13;44|43;13;44|,0.0|0.0|,43;13;44|43;13;44|,41;15;44|41;15;44|,41;15;44|41;15;44|,100|100|,0;0;0|0;0;0|,100|100|,41;15;44|41;15;44|,41;15;44|41;15;44|,100|100|,100|100|
28,100|100|,41;15;44|41;15;44|,0.0|0.0|,41;15;44|41;15;44|,38;15;47|38;15;47|,38;15;47|38;15;47|,100|100|,0;0;0|0;0;0|,100|100|,38;15;47|38;15;47|,38;15;47|38;15;47|,100|100|,100|100|
29,100|100|,38;15;47|38;15;47|,0.0|0.0|,38;15;47|38;15;47|,35;16;49|35;16;49|,35;16;49|35;16;49|,100|100|,0;0;0|0;0;0|,100|100|,35;16;49|35;16;49|,35;16;49|35;16;49|,100|100|,100|100|
30,100|100|,35;16;49|35;16;49|,0.0|0.0|,35;16;49|35;16;49|,31;16;53|31;16;53|,31;16;53|31;16;53|,100|100|,0;0;0|0;0;0|,100|100|,31;16;53|31;16;53|,31;16;53|31;16;53|,100|100|,100|100|
31,100|100|,31;16;53|31;16;53|,0.0|0.0|,31;16;53|31;16;53|,27;19;54|27;19;54|,27;19;54|27;19;54|,100|100|,0;0;0|0;0;0|,100|100|,27;19;54|27;19;54|,27;19;54|27;19;54|,100|100|,100|100|
32,100|100|,27;19;54|27;19;54|,0.0|0.0|,27;19;54|27;19;54|,26;17;57|26;17;57|,26;17;57|26;17;57|,100|100|,0;0;0|0;0;0|,100|100|,26;17;57|26;17;57|,26;17;57|26;17;57|,100|100|,100|100|
33,100|100|,26;17;57|26;17;57|,0.0|0.0|,26;17;57|26;17;57|,25;17;58|25;17;58|,25;17;58|25;17;58|,100|100|,0;0;0|0;0;0|,100|100|,25;17;58|25;17;58|,25;17;58|25;17;58|,100|100|,100|100|
34,100|100|,25;17;58|25;17;58|,0.0|0.0|,25;17;58|25;17;58|,22;16;62|22;16;62|,22;16;62|22;16;62|,100|100|,0;0;0|0;0;0|,100|100|,22;16;62|22;16;62|,22;16;62|22;16;62|,100|100|,100|100|
35,100|100|,22;16;62|22;16;62|,0.0|0.0|,22;16;62|22;16;62|,21;13;66|21;13;66|,21;13;66|21;13;66|,100|100|,0;0;0|0;0;0|,100|100|,21;13;66|21;13;66|,21;13;66|21;13;66|,100|100|,100|100|
36,100|100|,21;13;66|21;13;66|,0.0|0.0|,21;13;66|21;13;66|,19;12;69|19;12;69|,19;12;69|19;12;69|,100|100|,0;0;0|0;0;0|,100|100|,19;12;69|19;12;69|,19;12;69|19;12;69|,100|100|,100|100|
37,100|100|,19;12;69|19;12;69|,0.0|0.0|,19;12;69|19;12;69|,18;9;73|18;9;73|,18;9;73|18;9;73|,100|100|,0;0;0|0;0;0|,100|100|,18;9;73|18;9;73|,18;9;73|18;9;73|,100|100|,100|100|
38,100|100|,18;9;73|18;9;73|,0.0|0.0|,18;9;73|18;9;73|,17;9;74|17;9;74|,17;9;74|17;9;74|,100|100|,0;0;0|0;0;0|,100|100|,17;9;74|17;9;74|,17;9;74|17;9;74|,100|100|,100|100|
39,100|100|,17;9;74|17;9;74|,0.0|0.0|,17;9;74|17;9;74|,17;6;77|17;6;77|,17;6;77|17;6;77|,100|100|,0;0;0|0;0;0|,100|100|,17;6;77|17;6;77|,17;6;77|17;6;77|,100|100|,100|100|
40,100|100|,17;6;77|17;6;77|,0.0|0.0|,17;6;77|17;6;77|,17;6;77|17;6;77|,17;6;77|17;6;77|,100|100|,0;0;0|0;0;0|,100|100|,17;6;77|17;6;77|,17;6;77|17;6;77|,100|100|,100|100|
41,100|100|,17;6;77|17;6;77|,0.0|0.0|,17;6;77|17;6;77|,16;5;79|16;5;79|,16;5;79|16;5;79|,100|100|,0;0;0|0;0;0|,100|100|,16;5;79|16;5;79|,16;5;79|16;5;79|,100|100|,100|100|
42,100|100|,16;5;79|16;5;79|,0.0|0.0|,16;5;79|16;5;79|,16;4;80|16;4;80|,16;4;80|16;4;80|,100|100|,0;0;0|0;0;0|,100|100|,16;4;80|16;4;80|,16;4;80|16;4;80|,100|100|,100|100|
43,100|100|,16;4;80|16;4;80|,0.0|0.0|,16;4;80|16;4;80|,16;3;81|16;3;81|,16;3;81|16;3;81|,100|100|,0;0;0|0;0;0|,100|100|,16;3;81|16;3;81|,16;3;81|16;3;81|,100|100|,100|100|
44,100|100|,16;3;81|16;3;81|,0.0|0.0|,16;3;81|16;3;81|,16;3;81|16;3;81|,16;3;81|16;3;81|,100|100|,0;0;0|0;0;0|,100|100|,16;3;81|16;3;81|,16;3;81|16;3;81|,100|100|,100|100|
45,100|100|,16;3;81|16;3;81|,0.0|0.0|,16;3;81|16;3;81|,16;3;81|16;3;81|,16;3;81|16;3;81|,100|100|,0;0;0|0;0;0|,100|100|,16;3;81|16;3;81|,16;3;81|16;3;81|,100|100|,100|100|
46,100|100|,16;3;81|16;3;81|,0.0|0.0|,16;3;81|16;3;81|,16;1;83|16;1;83|,16;1;83|16;1;83|,100|100|,0;0;0|0;0;0|,100|100|,16;1;83|16;1;83|,16;1;83|16;1;83|,100|100|,100|100|
47,100|100|,16;1;83|16;1;83|,0.0|0.0|,16;1;83|16;1;83|,16;1;83|16;1;83|,16;1;83|16;1;83|,100|100|,0;0;0|0;0;0|,100|100|,16;1;83|16;1;83|,16;1;83|16;1;83|,100|100|,100|100|
48,100|100|,16;1;83|16;1;83|,0.0|0.0|,16;1;83|16;1;83|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
49,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
50,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
51,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
52,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
53,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
54,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
55,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
56,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
57,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
58,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
59,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
60,100|100|,16;0;84|16;0;84|,0.0|0.0|,16;0;84|16;0;84|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,0;0;0|0;0;0|,100|100|,16;0;84|16;0;84|,16;0;84|16;0;84|,100|100|,100|100|
