Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,10.0|10.0|,91;9;0|91;9;0|,88;12;0|88;12;0|,88;12;0|88;12;0|,100|100|,0;0;0|0;0;0|,100|100|,88;12;0|88;12;0|,88;12;0|88;12;0|,100|100|,100|100|
1,100|100|,88;12;0|88;12;0|,9.4|9.4|,88;12;0|88;12;0|,86;12;2|86;12;2|,86;12;2|86;12;2|,100|100|,0;0;0|0;0;0|,100|100|,86;12;2|86;12;2|,86;12;2|86;12;2|,100|100|,100|100|
2,100|100|,86;12;2|86;12;2|,9.19|9.19|,86;12;2|86;12;2|,84;13;3|84;13;3|,84;13;3|84;13;3|,100|100|,0;0;0|0;0;0|,100|100|,84;13;3|84;13;3|,84;13;3|84;13;3|,100|100|,100|100|
3,100|100|,84;13;3|84;13;3|,9.01|9.01|,84;13;3|84;13;3|,75;21;4|75;21;4|,75;21;4|75;21;4|,100|100|,0;0;0|0;0;0|,100|100|,75;21;4|75;21;4|,75;21;4|75;21;4|,100|100|,100|100|
4,100|100|,75;21;4|75;21;4|,8.96|8.96|,75;21;4|75;21;4|,66;29;5|66;29;5|,66;29;5|66;29;5|,100|100|,0;0;0|0;0;0|,100|100|,66;29;5|66;29;5|,66;29;5|66;29;5|,100|100|,100|100|
5,100|100|,66;29;5|66;29;5|,9.72|9.72|,66;29;5|66;29;5|,57;34;9|57;34;9|,57;34;9|57;34;9|,100|100|,0;0;0|0;0;0|,100|100|,57;34;9|57;34;9|,57;34;9|57;34;9|,100|100|,100|100|
6,100|100|,57;34;9|57;34;9|,11.16|11.16|,57;34;9|57;34;9|,48;42;10|48;42;10|,48;42;10|48;42;10|,100|100|,0;0;0|0;0;0|,100|100|,48;42;10|48;42;10|,48;42;10|48;42;10|,100|100|,100|100|
7,100|100|,48;42;10|48;42;10|,12.88|12.88|,48;42;10|48;42;10|,42;45;13|42;45;13|,42;45;13|42;45;13|,100|100|,0;0;0|0;0;0|,100|100|,42;45;13|42;45;13|,42;45;13|42;45;13|,100|100|,100|100|
8,100|100|,42;45;13|42;45;13|,15.15|15.15|,42;45;13|42;45;13|,36;50;14|36;50;14|,36;50;14|36;50;14|,100|100|,0;0;0|0;0;0|,100|100|,36;50;14|36;50;14|,36;50;14|36;50;14|,100|100|,100|100|
9,100|100|,36;50;14|36;50;14|,17.38|17.38|,36;50;14|36;50;14|,29;54;17|29;54;17|,29;54;17|29;54;17|,100|100|,0;0;0|0;0;0|,100|100|,29;54;17|29;54;17|,29;54;17|29;54;17|,100|100|,100|100|
10,100|100|,29;54;17|29;54;17|,19.77|19.77|,29;54;17|29;54;17|,25;54;21|25;54;21|,25;54;21|25;54;21|,100|100|,0;0;0|0;0;0|,100|100|,25;54;21|25;54;21|,25;54;21|25;54;21|,100|100|,100|100|
11,100|100|,25;54;21|25;54;21|,22.21|22.21|,25;54;21|25;54;21|,22;55;23|22;55;23|,22;55;23|22;55;23|,100|100|,0;0;0|0;0;0|,100|100|,22;55;23|22;55;23|,22;55;23|22;55;23|,100|100|,100|100|
12,100|100|,22;55;23|22;55;23|,24.28|24.28|,22;55;23|22;55;23|,19;56;25|19;56;25|,19;56;25|19;56;25|,100|100|,0;0;0|0;0;0|,100|100|,19;56;25|19;56;25|,19;56;25|19;56;25|,100|100|,100|100|
13,100|100|,19;56;25|19;56;25|,26.13|26.13|,19;56;25|19;56;25|,13;62;25|13;62;25|,13;62;25|13;62;25|,100|100|,0;0;0|0;0;0|,100|100|,13;62;25|13;62;25|,13;62;25|13;62;25|,100|100|,100|100|
14,100|100|,13;62;25|13;62;25|,27.81|27.81|,13;62;25|13;62;25|,10;63;27|10;63;27|,10;63;27|10;63;27|,100|100|,0;0;0|0;0;0|,100|100|,10;63;27|10;63;27|,10;63;27|10;63;27|,100|100|,100|100|
15,100|100|,10;63;27|10;63;27|,29.84|29.84|,10;63;27|10;63;27|,8;61;31|8;61;31|,8;61;31|8;61;31|,100|100|,0;0;0|0;0;0|,100|100|,8;61;31|8;61;31|,8;61;31|8;61;31|,100|100|,100|100|
16,100|100|,8;61;31|8;61;31|,31.67|31.67|,8;61;31|8;61;31|,7;57;36|7;57;36|,7;57;36|7;57;36|,100|100|,0;0;0|0;0;0|,100|100|,7;57;36|7;57;36|,7;57;36|7;57;36|,100|100|,100|100|
17,100|100|,7;57;36|7;57;36|,33.02|33.02|,7;57;36|7;57;36|,7;55;38|7;55;38|,7;55;38|7;55;38|,100|100|,0;0;0|0;0;0|,100|100|,7;55;38|7;55;38|,7;55;38|7;55;38|,100|100|,100|100|
18,100|100|,7;55;38|7;55;38|,33.76|33.76|,7;55;38|7;55;38|,6;52;42|6;52;42|,6;52;42|6;52;42|,100|100|,0;0;0|0;0;0|,100|100|,6;52;42|6;52;42|,6;52;42|6;52;42|,100|100|,100|100|
19,100|100|,6;52;42|6;52;42|,34.2|34.2|,6;52;42|6;52;42|,4;52;44|4;52;44|,4;52;44|4;52;44|,100|100|,0;0;0|0;0;0|,100|100|,4;52;44|4;52;44|,4;52;44|4;52;44|,100|100|,100|100|
20,100|100|,4;52;44|4;52;44|,34.27|34.27|,4;52;44|4;52;44|,4;50;46|4;50;46|,4;50;46|4;50;46|,100|100|,0;0;0|0;0;0|,100|100|,4;50;46|4;50;46|,4;50;46|4;50;46|,100|100|,100|100|
21,100|100|,4;50;46|4;50;46|,34.33|34.33|,4;50;46|4;50;46|,3;50;47|3;50;47|,3;50;47|3;50;47|,100|100|,0;0;0|0;0;0|,100|100|,3;50;47|3;50;47|,3;50;47|3;50;47|,100|100|,100|100|
22,100|100|,3;50;47|3;50;47|,34.18|34.18|,3;50;47|3;50;47|,3;46;51|3;46;51|,3;46;51|3;46;51|,100|100|,0;0;0|0;0;0|,100|100|,3;46;51|3;46;51|,3;46;51|3;46;51|,100|100|,100|100|
23,100|100|,3;46;51|3;46;51|,34.05|34.05|,3;46;51|3;46;51|,3;42;55|3;42;55|,3;42;55|3;42;55|,100|100|,0;0;0|0;0;0|,100|100|,3;42;55|3;42;55|,3;42;55|3;42;55|,100|100|,100|100|
24,100|100|,3;42;55|3;42;55|,33.54|33.54|,3;42;55|3;42;55|,3;38;59|3;38;59|,3;38;59|3;38;59|,100|100|,0;0;0|0;0;0|,100|100|,3;38;59|3;38;59|,3;38;59|3;38;59|,100|100|,100|100|
25,100|100|,3;38;59|3;38;59|,32.71|32.71|,3;38;59|3;38;59|,3;35;62|3;35;62|,3;35;62|3;35;62|,100|100|,0;0;0|0;0;0|,100|100|,3;35;62|3;35;62|,3;35;62|3;35;62|,100|100|,100|100|
26,100|100|,3;35;62|3;35;62|,31.61|31.61|,3;35;62|3;35;62|,0;38;62|0;38;62|,0;38;62|0;38;62|,100|100|,0;0;0|0;0;0|,100|100|,0;38;62|0;38;62|,0;38;62|0;38;62|,100|100|,100|100|
27,100|100|,0;38;62|0;38;62|,30.37|30.37|,0;38;62|0;38;62|,0;37;63|0;37;63|,0;37;63|0;37;63|,100|100|,0;0;0|0;0;0|,100|100|,0;37;63|0;37;63|,0;37;63|0;37;63|,100|100|,100|100|
28,100|100|,0;37;63|0;37;63|,29.61|29.61|,0;37;63|0;37;63|,0;34;66|0;34;66|,0;34;66|0;34;66|,100|100|,0;0;0|0;0;0|,100|100|,0;34;66|0;34;66|,0;34;66|0;34;66|,100|100|,100|100|
29,100|100|,0;34;66|0;34;66|,28.87|28.87|,0;34;66|0;34;66|,0;31;69|0;31;69|,0;31;69|0;31;69|,100|100|,0;0;0|0;0;0|,100|100|,0;31;69|0;31;69|,0;31;69|0;31;69|,100|100|,100|100|
30,100|100|,0;31;69|0;31;69|,27.94|27.94|,0;31;69|0;31;69|,0;27;73|0;27;73|,0;27;73|0;27;73|,100|100|,0;0;0|0;0;0|,100|100|,0;27;73|0;27;73|,0;27;73|0;27;73|,100|100|,100|100|
31,100|100|,0;27;73|0;27;73|,26.85|26.85|,0;27;73|0;27;73|,0;26;74|0;26;74|,0;26;74|0;26;74|,100|100|,0;0;0|0;0;0|,100|100|,0;26;74|0;26;74|,0;26;74|0;26;74|,100|100|,100|100|
32,100|100|,0;26;74|0;26;74|,25.52|25.52|,0;26;74|0;26;74|,0;25;75|0;25;75|,0;25;75|0;25;75|,100|100|,0;0;0|0;0;0|,100|100|,0;25;75|0;25;75|,0;25;75|0;25;75|,100|100|,100|100|
33,100|100|,0;25;75|0;25;75|,24.29|24.29|,0;25;75|0;25;75|,0;24;76|0;24;76|,0;24;76|0;24;76|,100|100|,0;0;0|0;0;0|,100|100|,0;24;76|0;24;76|,0;24;76|0;24;76|,100|100|,100|100|
34,100|100|,0;24;76|0;24;76|,23.15|23.15|,0;24;76|0;24;76|,0;21;79|0;21;79|,0;21;79|0;21;79|,100|100|,0;0;0|0;0;0|,100|100|,0;21;79|0;21;79|,0;21;79|0;21;79|,100|100|,100|100|
35,100|100|,0;21;79|0;21;79|,22.08|22.08|,0;21;79|0;21;79|,0;20;80|0;20;80|,0;20;80|0;20;80|,100|100|,0;0;0|0;0;0|,100|100|,0;20;80|0;20;80|,0;20;80|0;20;80|,100|100|,100|100|
36,100|100|,0;20;80|0;20;80|,20.86|20.86|,0;20;80|0;20;80|,0;19;81|0;19;81|,0;19;81|0;19;81|,100|100|,0;0;0|0;0;0|,100|100|,0;19;81|0;19;81|,0;19;81|0;19;81|,100|100|,100|100|
37,100|100|,0;19;81|0;19;81|,19.74|19.74|,0;19;81|0;19;81|,0;19;81|0;19;81|,0;19;81|0;19;81|,100|100|,0;0;0|0;0;0|,100|100|,0;19;81|0;19;81|,0;19;81|0;19;81|,100|100|,100|100|
38,100|100|,0;19;81|0;19;81|,18.67|18.67|,0;19;81|0;19;81|,0;16;84|0;16;84|,0;16;84|0;16;84|,100|100|,0;0;0|0;0;0|,100|100|,0;16;84|0;16;84|,0;16;84|0;16;84|,100|100|,100|100|
39,100|100|,0;16;84|0;16;84|,17.77|17.77|,0;16;84|0;16;84|,0;13;87|0;13;87|,0;13;87|0;13;87|,100|100|,0;0;0|0;0;0|,100|100|,0;13;87|0;13;87|,0;13;87|0;13;87|,100|100|,100|100|
