Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,10.0|10.0|,91;9;0|91;9;0|,87;13;0|87;13;0|,87;13;0|87;13;0|,100|100|,0;0;0|0;0;0|,100|100|,87;13;0|87;13;0|,87;13;0|87;13;0|,100|100|,100|100|
1,100|100|,87;13;0|87;13;0|,9.4|9.4|,87;13;0|87;13;0|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,0;0;0|0;0;0|,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,100|100|
2,100|100|,83;16;1|83;16;1|,9.29|9.29|,83;16;1|83;16;1|,76;23;1|76;23;1|,76;23;1|76;23;1|,100|100|,0;0;0|0;0;0|,100|100|,76;23;1|76;23;1|,76;23;1|76;23;1|,100|100|,100|100|
3,100|100|,76;23;1|76;23;1|,9.5|9.5|,76;23;1|76;23;1|,70;28;2|70;28;2|,70;28;2|70;28;2|,100|100|,0;0;0|0;0;0|,100|100|,70;28;2|70;28;2|,70;28;2|70;28;2|,100|100|,100|100|
4,100|100|,70;28;2|70;28;2|,10.37|10.37|,70;28;2|70;28;2|,66;28;6|66;28;6|,66;28;6|66;28;6|,100|100|,0;0;0|0;0;0|,100|100|,66;28;6|66;28;6|,66;28;6|66;28;6|,100|100|,100|100|
5,100|100|,66;28;6|66;28;6|,11.62|11.62|,66;28;6|66;28;6|,57;36;7|57;36;7|,57;36;7|57;36;7|,100|100|,0;0;0|0;0;0|,100|100|,57;36;7|57;36;7|,57;36;7|57;36;7|,100|100|,100|100|
6,100|100|,57;36;7|57;36;7|,12.67|12.67|,57;36;7|57;36;7|,47;44;9|47;44;9|,47;44;9|47;44;9|,100|100|,0;0;0|0;0;0|,100|100|,47;44;9|47;44;9|,47;44;9|47;44;9|,100|100|,100|100|
7,100|100|,47;44;9|47;44;9|,14.37|14.37|,47;44;9|47;44;9|,42;47;11|42;47;11|,42;47;11|42;47;11|,100|100|,0;0;0|0;0;0|,100|100|,42;47;11|42;47;11|,42;47;11|42;47;11|,100|100|,100|100|
8,100|100|,42;47;11|42;47;11|,16.62|16.62|,42;47;11|42;47;11|,33;54;13|33;54;13|,33;54;13|33;54;13|,100|100|,0;0;0|0;0;0|,100|100|,33;54;13|33;54;13|,33;54;13|33;54;13|,100|100|,100|100|
9,100|100|,33;54;13|33;54;13|,18.82|18.82|,33;54;13|33;54;13|,26;59;15|26;59;15|,26;59;15|26;59;15|,100|100|,0;0;0|0;0;0|,100|100|,26;59;15|26;59;15|,26;59;15|26;59;15|,100|100|,100|100|
