Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,89;11;0|89;11;0|,89;11;0|89;11;0|,82;17;1|82;17;1|,82;17;1|82;17;1|,100|100|,0;0;0|0;0;0|,100|100|,82;17;1|82;17;1|,82;17;1|82;17;1|,100|100|,100|100|
1,100|100|,82;17;1|82;17;1|,82;17;1|82;17;1|,72;25;3|72;25;3|,72;25;3|72;25;3|,100|100|,0;0;0|0;0;0|,100|100|,72;25;3|72;25;3|,72;25;3|72;25;3|,100|100|,100|100|
2,100|100|,72;25;3|72;25;3|,72;25;3|72;25;3|,65;27;8|65;27;8|,65;27;8|65;27;8|,100|100|,0;0;0|0;0;0|,100|100|,65;27;8|65;27;8|,65;27;8|65;27;8|,100|100|,100|100|
3,100|100|,65;27;8|65;27;8|,65;27;8|65;27;8|,59;23;18|59;23;18|,59;23;18|59;23;18|,100|100|,0;0;0|0;0;0|,100|100|,59;23;18|59;23;18|,59;23;18|59;23;18|,100|100|,100|100|
4,100|100|,59;23;18|59;23;18|,59;23;18|59;23;18|,54;24;22|54;24;22|,54;24;22|54;24;22|,100|100|,0;0;0|0;0;0|,100|100|,54;24;22|54;24;22|,54;24;22|54;24;22|,100|100|,100|100|
5,100|100|,54;24;22|54;24;22|,54;24;22|54;24;22|,53;24;23|53;24;23|,53;24;23|53;24;23|,100|100|,0;0;0|0;0;0|,100|100|,53;24;23|53;24;23|,53;24;23|53;24;23|,100|100|,100|100|
6,100|100|,53;24;23|53;24;23|,53;24;23|53;24;23|,51;29;20|51;29;20|,51;29;20|51;29;20|,100|100|,0;0;0|0;0;0|,100|100|,51;29;20|51;29;20|,51;29;20|51;29;20|,100|100|,100|100|
7,100|100|,51;29;20|51;29;20|,51;29;20|51;29;20|,38;37;25|38;37;25|,38;37;25|38;37;25|,100|100|,0;0;0|0;0;0|,100|100|,38;37;25|38;37;25|,38;37;25|38;37;25|,100|100|,100|100|
8,100|100|,38;37;25|38;37;25|,38;37;25|38;37;25|,31;40;29|31;40;29|,31;40;29|31;40;29|,100|100|,0;0;0|0;0;0|,100|100|,31;40;29|31;40;29|,31;40;29|31;40;29|,100|100|,100|100|
9,100|100|,31;40;29|31;40;29|,31;40;29|31;40;29|,29;44;27|29;44;27|,29;44;27|29;44;27|,100|100|,0;0;0|0;0;0|,100|100|,29;44;27|29;44;27|,29;44;27|29;44;27|,100|100|,100|100|
10,100|100|,29;44;27|29;44;27|,29;44;27|29;44;27|,28;38;34|28;38;34|,28;38;34|28;38;34|,100|100|,0;0;0|0;0;0|,100|100|,28;38;34|28;38;34|,28;38;34|28;38;34|,100|100|,100|100|
11,100|100|,28;38;34|28;38;34|,28;38;34|28;38;34|,33;37;30|33;37;30|,33;37;30|33;37;30|,100|100|,0;0;0|0;0;0|,100|100|,33;37;30|33;37;30|,33;37;30|33;37;30|,100|100|,100|100|
12,100|100|,33;37;30|33;37;30|,33;37;30|33;37;30|,25;45;30|25;45;30|,25;45;30|25;45;30|,100|100|,0;0;0|0;0;0|,100|100|,25;45;30|25;45;30|,25;45;30|25;45;30|,100|100|,100|100|
13,100|100|,25;45;30|25;45;30|,25;45;30|25;45;30|,24;41;35|24;41;35|,24;41;35|24;41;35|,100|100|,0;0;0|0;0;0|,100|100|,24;41;35|24;41;35|,24;41;35|24;41;35|,100|100|,100|100|
14,100|100|,24;41;35|24;41;35|,24;41;35|24;41;35|,25;39;36|25;39;36|,25;39;36|25;39;36|,100|100|,0;0;0|0;0;0|,100|100|,25;39;36|25;39;36|,25;39;36|25;39;36|,100|100|,100|100|
15,100|100|,25;39;36|25;39;36|,25;39;36|25;39;36|,28;41;31|28;41;31|,28;41;31|28;41;31|,100|100|,0;0;0|0;0;0|,100|100|,28;41;31|28;41;31|,28;41;31|28;41;31|,100|100|,100|100|
16,100|100|,28;41;31|28;41;31|,28;41;31|28;41;31|,29;39;32|29;39;32|,29;39;32|29;39;32|,100|100|,0;0;0|0;0;0|,100|100|,29;39;32|29;39;32|,29;39;32|29;39;32|,100|100|,100|100|
17,100|100|,29;39;32|29;39;32|,29;39;32|29;39;32|,30;44;26|30;44;26|,30;44;26|30;44;26|,100|100|,0;0;0|0;0;0|,100|100|,30;44;26|30;44;26|,30;44;26|30;44;26|,100|100|,100|100|
18,100|100|,30;44;26|30;44;26|,30;44;26|30;44;26|,30;45;25|30;45;25|,30;45;25|30;45;25|,100|100|,0;0;0|0;0;0|,100|100|,30;45;25|30;45;25|,30;45;25|30;45;25|,100|100|,100|100|
19,100|100|,30;45;25|30;45;25|,30;45;25|30;45;25|,29;37;34|29;37;34|,29;37;34|29;37;34|,100|100|,0;0;0|0;0;0|,100|100|,29;37;34|29;37;34|,29;37;34|29;37;34|,100|100|,100|100|
20,100|100|,29;37;34|29;37;34|,29;37;34|29;37;34|,28;36;36|28;36;36|,28;36;36|28;36;36|,100|100|,0;0;0|0;0;0|,100|100|,28;36;36|28;36;36|,28;36;36|28;36;36|,100|100|,100|100|
21,100|100|,28;36;36|28;36;36|,28;36;36|28;36;36|,32;31;37|32;31;37|,32;31;37|32;31;37|,100|100|,0;0;0|0;0;0|,100|100|,32;31;37|32;31;37|,32;31;37|32;31;37|,100|100|,100|100|
22,100|100|,32;31;37|32;31;37|,32;31;37|32;31;37|,30;24;46|30;24;46|,30;24;46|30;24;46|,100|100|,0;0;0|0;0;0|,100|100|,30;24;46|30;24;46|,30;24;46|30;24;46|,100|100|,100|100|
23,100|100|,30;24;46|30;24;46|,30;24;46|30;24;46|,33;28;39|33;28;39|,33;28;39|33;28;39|,100|100|,0;0;0|0;0;0|,100|100|,33;28;39|33;28;39|,33;28;39|33;28;39|,100|100|,100|100|
24,100|100|,33;28;39|33;28;39|,33;28;39|33;28;39|,38;26;36|38;26;36|,38;26;36|38;26;36|,100|100|,0;0;0|0;0;0|,100|100|,38;26;36|38;26;36|,38;26;36|38;26;36|,100|100|,100|100|
25,100|100|,38;26;36|38;26;36|,38;26;36|38;26;36|,42;28;30|42;28;30|,42;28;30|42;28;30|,100|100|,0;0;0|0;0;0|,100|100|,42;28;30|42;28;30|,42;28;30|42;28;30|,100|100|,100|100|
26,100|100|,42;28;30|42;28;30|,42;28;30|42;28;30|,42;29;29|42;29;29|,42;29;29|42;29;29|,100|100|,0;0;0|0;0;0|,100|100|,42;29;29|42;29;29|,42;29;29|42;29;29|,100|100|,100|100|
27,100|100|,42;29;29|42;29;29|,42;29;29|42;29;29|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,0;0;0|0;0;0|,100|100|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,100|100|
28,100|100|,42;27;31|42;27;31|,42;27;31|42;27;31|,44;31;25|44;31;25|,44;31;25|44;31;25|,100|100|,0;0;0|0;0;0|,100|100|,44;31;25|44;31;25|,44;31;25|44;31;25|,100|100|,100|100|
29,100|100|,44;31;25|44;31;25|,44;31;25|44;31;25|,47;29;24|47;29;24|,47;29;24|47;29;24|,100|100|,0;0;0|0;0;0|,100|100|,47;29;24|47;29;24|,47;29;24|47;29;24|,100|100|,100|100|
30,100|100|,47;29;24|47;29;24|,47;29;24|47;29;24|,48;27;25|48;27;25|,48;27;25|48;27;25|,100|100|,0;0;0|0;0;0|,100|100|,48;27;25|48;27;25|,48;27;25|48;27;25|,100|100|,100|100|
31,100|100|,48;27;25|48;27;25|,48;27;25|48;27;25|,45;21;34|45;21;34|,45;21;34|45;21;34|,100|100|,0;0;0|0;0;0|,100|100|,45;21;34|45;21;34|,45;21;34|45;21;34|,100|100|,100|100|
32,100|100|,45;21;34|45;21;34|,45;21;34|45;21;34|,42;20;38|42;20;38|,42;20;38|42;20;38|,100|100|,0;0;0|0;0;0|,100|100|,42;20;38|42;20;38|,42;20;38|42;20;38|,100|100|,100|100|
33,100|100|,42;20;38|42;20;38|,42;20;38|42;20;38|,49;20;31|49;20;31|,49;20;31|49;20;31|,100|100|,0;0;0|0;0;0|,100|100|,49;20;31|49;20;31|,49;20;31|49;20;31|,100|100|,100|100|
34,100|100|,49;20;31|49;20;31|,49;20;31|49;20;31|,55;22;23|55;22;23|,55;22;23|55;22;23|,100|100|,0;0;0|0;0;0|,100|100|,55;22;23|55;22;23|,55;22;23|55;22;23|,100|100|,100|100|
35,100|100|,55;22;23|55;22;23|,55;22;23|55;22;23|,52;22;26|52;22;26|,52;22;26|52;22;26|,100|100|,0;0;0|0;0;0|,100|100|,52;22;26|52;22;26|,52;22;26|52;22;26|,100|100|,100|100|
36,100|100|,52;22;26|52;22;26|,52;22;26|52;22;26|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,0;0;0|0;0;0|,100|100|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,100|100|
37,100|100|,50;22;28|50;22;28|,50;22;28|50;22;28|,55;21;24|55;21;24|,55;21;24|55;21;24|,100|100|,0;0;0|0;0;0|,100|100|,55;21;24|55;21;24|,55;21;24|55;21;24|,100|100|,100|100|
38,100|100|,55;21;24|55;21;24|,55;21;24|55;21;24|,54;22;24|54;22;24|,54;22;24|54;22;24|,100|100|,0;0;0|0;0;0|,100|100|,54;22;24|54;22;24|,54;22;24|54;22;24|,100|100|,100|100|
39,100|100|,54;22;24|54;22;24|,54;22;24|54;22;24|,55;23;22|55;23;22|,55;23;22|55;23;22|,100|100|,0;0;0|0;0;0|,100|100|,55;23;22|55;23;22|,55;23;22|55;23;22|,100|100|,100|100|
40,100|100|,55;23;22|55;23;22|,55;23;22|55;23;22|,52;25;23|52;25;23|,52;25;23|52;25;23|,100|100|,0;0;0|0;0;0|,100|100|,52;25;23|52;25;23|,52;25;23|52;25;23|,100|100|,100|100|
41,100|100|,52;25;23|52;25;23|,52;25;23|52;25;23|,52;23;25|52;23;25|,52;23;25|52;23;25|,100|100|,0;0;0|0;0;0|,100|100|,52;23;25|52;23;25|,52;23;25|52;23;25|,100|100|,100|100|
42,100|100|,52;23;25|52;23;25|,52;23;25|52;23;25|,48;28;24|48;28;24|,48;28;24|48;28;24|,100|100|,0;0;0|0;0;0|,100|100|,48;28;24|48;28;24|,48;28;24|48;28;24|,100|100|,100|100|
43,100|100|,48;28;24|48;28;24|,48;28;24|48;28;24|,42;33;25|42;33;25|,42;33;25|42;33;25|,100|100|,0;0;0|0;0;0|,100|100|,42;33;25|42;33;25|,42;33;25|42;33;25|,100|100|,100|100|
44,100|100|,42;33;25|42;33;25|,42;33;25|42;33;25|,45;27;28|45;27;28|,45;27;28|45;27;28|,100|100|,0;0;0|0;0;0|,100|100|,45;27;28|45;27;28|,45;27;28|45;27;28|,100|100|,100|100|
45,100|100|,45;27;28|45;27;28|,45;27;28|45;27;28|,47;28;25|47;28;25|,47;28;25|47;28;25|,100|100|,0;0;0|0;0;0|,100|100|,47;28;25|47;28;25|,47;28;25|47;28;25|,100|100|,100|100|
46,100|100|,47;28;25|47;28;25|,47;28;25|47;28;25|,46;28;26|46;28;26|,46;28;26|46;28;26|,100|100|,0;0;0|0;0;0|,100|100|,46;28;26|46;28;26|,46;28;26|46;28;26|,100|100|,100|100|
47,100|100|,46;28;26|46;28;26|,46;28;26|46;28;26|,44;27;29|44;27;29|,44;27;29|44;27;29|,100|100|,0;0;0|0;0;0|,100|100|,44;27;29|44;27;29|,44;27;29|44;27;29|,100|100|,100|100|
48,100|100|,44;27;29|44;27;29|,44;27;29|44;27;29|,40;33;27|40;33;27|,40;33;27|40;33;27|,100|100|,0;0;0|0;0;0|,100|100|,40;33;27|40;33;27|,40;33;27|40;33;27|,100|100|,100|100|
49,100|100|,40;33;27|40;33;27|,40;33;27|40;33;27|,38;32;30|38;32;30|,38;32;30|38;32;30|,100|100|,0;0;0|0;0;0|,100|100|,38;32;30|38;32;30|,38;32;30|38;32;30|,100|100|,100|100|
50,100|100|,38;32;30|38;32;30|,38;32;30|38;32;30|,40;29;31|40;29;31|,40;29;31|40;29;31|,100|100|,0;0;0|0;0;0|,100|100|,40;29;31|40;29;31|,40;29;31|40;29;31|,100|100|,100|100|
51,100|100|,40;29;31|40;29;31|,40;29;31|40;29;31|,46;32;22|46;32;22|,46;32;22|46;32;22|,100|100|,0;0;0|0;0;0|,100|100|,46;32;22|46;32;22|,46;32;22|46;32;22|,100|100|,100|100|
52,100|100|,46;32;22|46;32;22|,46;32;22|46;32;22|,44;34;22|44;34;22|,44;34;22|44;34;22|,100|100|,0;0;0|0;0;0|,100|100|,44;34;22|44;34;22|,44;34;22|44;34;22|,100|100|,100|100|
53,100|100|,44;34;22|44;34;22|,44;34;22|44;34;22|,39;32;29|39;32;29|,39;32;29|39;32;29|,100|100|,0;0;0|0;0;0|,100|100|,39;32;29|39;32;29|,39;32;29|39;32;29|,100|100|,100|100|
54,100|100|,39;32;29|39;32;29|,39;32;29|39;32;29|,37;30;33|37;30;33|,37;30;33|37;30;33|,100|100|,0;0;0|0;0;0|,100|100|,37;30;33|37;30;33|,37;30;33|37;30;33|,100|100|,100|100|
55,100|100|,37;30;33|37;30;33|,37;30;33|37;30;33|,39;27;34|39;27;34|,39;27;34|39;27;34|,100|100|,0;0;0|0;0;0|,100|100|,39;27;34|39;27;34|,39;27;34|39;27;34|,100|100|,100|100|
56,100|100|,39;27;34|39;27;34|,39;27;34|39;27;34|,40;32;28|40;32;28|,40;32;28|40;32;28|,100|100|,0;0;0|0;0;0|,100|100|,40;32;28|40;32;28|,40;32;28|40;32;28|,100|100|,100|100|
57,100|100|,40;32;28|40;32;28|,40;32;28|40;32;28|,39;36;25|39;36;25|,39;36;25|39;36;25|,100|100|,0;0;0|0;0;0|,100|100|,39;36;25|39;36;25|,39;36;25|39;36;25|,100|100|,100|100|
58,100|100|,39;36;25|39;36;25|,39;36;25|39;36;25|,41;33;26|41;33;26|,41;33;26|41;33;26|,100|100|,0;0;0|0;0;0|,100|100|,41;33;26|41;33;26|,41;33;26|41;33;26|,100|100|,100|100|
59,100|100|,41;33;26|41;33;26|,41;33;26|41;33;26|,31;46;23|31;46;23|,31;46;23|31;46;23|,100|100|,0;0;0|0;0;0|,100|100|,31;46;23|31;46;23|,31;46;23|31;46;23|,100|100|,100|100|
60,100|100|,31;46;23|31;46;23|,31;46;23|31;46;23|,26;43;31|26;43;31|,26;43;31|26;43;31|,100|100|,0;0;0|0;0;0|,100|100|,26;43;31|26;43;31|,26;43;31|26;43;31|,100|100|,100|100|
61,100|100|,26;43;31|26;43;31|,26;43;31|26;43;31|,26;42;32|26;42;32|,26;42;32|26;42;32|,100|100|,0;0;0|0;0;0|,100|100|,26;42;32|26;42;32|,26;42;32|26;42;32|,100|100|,100|100|
62,100|100|,26;42;32|26;42;32|,26;42;32|26;42;32|,25;45;30|25;45;30|,25;45;30|25;45;30|,100|100|,0;0;0|0;0;0|,100|100|,25;45;30|25;45;30|,25;45;30|25;45;30|,100|100|,100|100|
63,100|100|,25;45;30|25;45;30|,25;45;30|25;45;30|,30;33;37|30;33;37|,30;33;37|30;33;37|,100|100|,0;0;0|0;0;0|,100|100|,30;33;37|30;33;37|,30;33;37|30;33;37|,100|100|,100|100|
64,100|100|,30;33;37|30;33;37|,30;33;37|30;33;37|,38;32;30|38;32;30|,38;32;30|38;32;30|,100|100|,0;0;0|0;0;0|,100|100|,38;32;30|38;32;30|,38;32;30|38;32;30|,100|100|,100|100|
65,100|100|,38;32;30|38;32;30|,38;32;30|38;32;30|,33;35;32|33;35;32|,33;35;32|33;35;32|,100|100|,0;0;0|0;0;0|,100|100|,33;35;32|33;35;32|,33;35;32|33;35;32|,100|100|,100|100|
66,100|100|,33;35;32|33;35;32|,33;35;32|33;35;32|,34;33;33|34;33;33|,34;33;33|34;33;33|,100|100|,0;0;0|0;0;0|,100|100|,34;33;33|34;33;33|,34;33;33|34;33;33|,100|100|,100|100|
67,100|100|,34;33;33|34;33;33|,34;33;33|34;33;33|,30;28;42|30;28;42|,30;28;42|30;28;42|,100|100|,0;0;0|0;0;0|,100|100|,30;28;42|30;28;42|,30;28;42|30;28;42|,100|100|,100|100|
68,100|100|,30;28;42|30;28;42|,30;28;42|30;28;42|,33;27;40|33;27;40|,33;27;40|33;27;40|,100|100|,0;0;0|0;0;0|,100|100|,33;27;40|33;27;40|,33;27;40|33;27;40|,100|100|,100|100|
69,100|100|,33;27;40|33;27;40|,33;27;40|33;27;40|,37;25;38|37;25;38|,37;25;38|37;25;38|,100|100|,0;0;0|0;0;0|,100|100|,37;25;38|37;25;38|,37;25;38|37;25;38|,100|100|,100|100|
70,100|100|,37;25;38|37;25;38|,37;25;38|37;25;38|,45;24;31|45;24;31|,45;24;31|45;24;31|,100|100|,0;0;0|0;0;0|,100|100|,45;24;31|45;24;31|,45;24;31|45;24;31|,100|100|,100|100|
71,100|100|,45;24;31|45;24;31|,45;24;31|45;24;31|,44;30;26|44;30;26|,44;30;26|44;30;26|,100|100|,0;0;0|0;0;0|,100|100|,44;30;26|44;30;26|,44;30;26|44;30;26|,100|100|,100|100|
72,100|100|,44;30;26|44;30;26|,44;30;26|44;30;26|,43;26;31|43;26;31|,43;26;31|43;26;31|,100|100|,0;0;0|0;0;0|,100|100|,43;26;31|43;26;31|,43;26;31|43;26;31|,100|100|,100|100|
73,100|100|,43;26;31|43;26;31|,43;26;31|43;26;31|,43;25;32|43;25;32|,43;25;32|43;25;32|,100|100|,0;0;0|0;0;0|,100|100|,43;25;32|43;25;32|,43;25;32|43;25;32|,100|100|,100|100|
74,100|100|,43;25;32|43;25;32|,43;25;32|43;25;32|,43;21;36|43;21;36|,43;21;36|43;21;36|,100|100|,0;0;0|0;0;0|,100|100|,43;21;36|43;21;36|,43;21;36|43;21;36|,100|100|,100|100|
75,100|100|,43;21;36|43;21;36|,43;21;36|43;21;36|,42;24;34|42;24;34|,42;24;34|42;24;34|,100|100|,0;0;0|0;0;0|,100|100|,42;24;34|42;24;34|,42;24;34|42;24;34|,100|100|,100|100|
76,100|100|,42;24;34|42;24;34|,42;24;34|42;24;34|,45;23;32|45;23;32|,45;23;32|45;23;32|,100|100|,0;0;0|0;0;0|,100|100|,45;23;32|45;23;32|,45;23;32|45;23;32|,100|100|,100|100|
77,100|100|,45;23;32|45;23;32|,45;23;32|45;23;32|,43;24;33|43;24;33|,43;24;33|43;24;33|,100|100|,0;0;0|0;0;0|,100|100|,43;24;33|43;24;33|,43;24;33|43;24;33|,100|100|,100|100|
78,100|100|,43;24;33|43;24;33|,43;24;33|43;24;33|,41;27;32|41;27;32|,41;27;32|41;27;32|,100|100|,0;0;0|0;0;0|,100|100|,41;27;32|41;27;32|,41;27;32|41;27;32|,100|100|,100|100|
