Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;0;12;0|88;0;12;0|,88;0;12;0|88;0;12;0|,83;5;10;2|83;5;10;2|,83;5;10;2|83;5;10;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;5;10;2|83;5;10;2|,83;5;10;2|83;5;10;2|,100|100|,100|100|
1,100|100|,83;5;10;2|83;5;10;2|,83;5;10;2|83;5;10;2|,79;6;11;4|79;6;11;4|,79;6;11;4|79;6;11;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;6;11;4|79;6;11;4|,79;6;11;4|79;6;11;4|,100|100|,100|100|
2,100|100|,79;6;11;4|79;6;11;4|,79;6;11;4|79;6;11;4|,73;9;11;7|73;9;11;7|,73;9;11;7|73;9;11;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;9;11;7|73;9;11;7|,73;9;11;7|73;9;11;7|,100|100|,100|100|
3,100|100|,73;9;11;7|73;9;11;7|,73;9;11;7|73;9;11;7|,69;9;14;8|69;9;14;8|,69;9;14;8|69;9;14;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,69;9;14;8|69;9;14;8|,69;9;14;8|69;9;14;8|,100|100|,100|100|
4,100|100|,69;9;14;8|69;9;14;8|,69;9;14;8|69;9;14;8|,66;7;18;9|66;7;18;9|,66;7;18;9|66;7;18;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,66;7;18;9|66;7;18;9|,66;7;18;9|66;7;18;9|,100|100|,100|100|
5,100|100|,66;7;18;9|66;7;18;9|,66;7;18;9|66;7;18;9|,59;11;20;10|59;11;20;10|,59;11;20;10|59;11;20;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,59;11;20;10|59;11;20;10|,59;11;20;10|59;11;20;10|,100|100|,100|100|
6,100|100|,59;11;20;10|59;11;20;10|,59;11;20;10|59;11;20;10|,54;12;22;12|54;12;22;12|,54;12;22;12|54;12;22;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,54;12;22;12|54;12;22;12|,54;12;22;12|54;12;22;12|,100|100|,100|100|
7,100|100|,54;12;22;12|54;12;22;12|,54;12;22;12|54;12;22;12|,49;12;23;16|49;12;23;16|,49;12;23;16|49;12;23;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;12;23;16|49;12;23;16|,49;12;23;16|49;12;23;16|,100|100|,100|100|
8,100|100|,49;12;23;16|49;12;23;16|,49;12;23;16|49;12;23;16|,45;13;19;23|45;13;19;23|,45;13;19;23|45;13;19;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,45;13;19;23|45;13;19;23|,45;13;19;23|45;13;19;23|,100|100|,100|100|
9,100|100|,45;13;19;23|45;13;19;23|,45;13;19;23|45;13;19;23|,33;16;26;25|33;16;26;25|,33;16;26;25|33;16;26;25|,100|100|,0;0;0;0|0;0;0;0|,100|100|,33;16;26;25|33;16;26;25|,33;16;26;25|33;16;26;25|,100|100|,100|100|
