Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,95;5;0|95;5;0|,95;5;0|95;5;0|,95;5;0|95;5;0|,95;5;0|95;5;0|,100|100|,0;0;0|0;0;0|,100|100|,95;5;0|95;5;0|,95;5;0|95;5;0|,100|100|,100|100|
1,100|100|,95;5;0|95;5;0|,95;5;0|95;5;0|,94;6;0|94;6;0|,94;6;0|94;6;0|,100|100|,0;0;0|0;0;0|,100|100|,94;6;0|94;6;0|,94;6;0|94;6;0|,100|100|,100|100|
2,100|100|,94;6;0|94;6;0|,94;6;0|94;6;0|,89;10;1|89;10;1|,89;10;1|89;10;1|,100|100|,0;0;0|0;0;0|,100|100|,89;10;1|89;10;1|,89;10;1|89;10;1|,100|100|,100|100|
3,100|100|,89;10;1|89;10;1|,89;10;1|89;10;1|,84;13;3|84;13;3|,84;13;3|84;13;3|,100|100|,0;0;0|0;0;0|,100|100|,84;13;3|84;13;3|,84;13;3|84;13;3|,100|100|,100|100|
4,100|100|,84;13;3|84;13;3|,84;13;3|84;13;3|,83;12;5|83;12;5|,83;12;5|83;12;5|,100|100|,0;0;0|0;0;0|,100|100|,83;12;5|83;12;5|,83;12;5|83;12;5|,100|100|,100|100|
5,100|100|,83;12;5|83;12;5|,83;12;5|83;12;5|,81;14;5|81;14;5|,81;14;5|81;14;5|,100|100|,0;0;0|0;0;0|,100|100|,81;14;5|81;14;5|,81;14;5|81;14;5|,100|100|,100|100|
6,100|100|,81;14;5|81;14;5|,81;14;5|81;14;5|,75;17;8|75;17;8|,75;17;8|75;17;8|,100|100|,0;0;0|0;0;0|,100|100|,75;17;8|75;17;8|,75;17;8|75;17;8|,100|100|,100|100|
7,100|100|,75;17;8|75;17;8|,75;17;8|75;17;8|,71;21;8|71;21;8|,71;21;8|71;21;8|,100|100|,0;0;0|0;0;0|,100|100|,71;21;8|71;21;8|,71;21;8|71;21;8|,100|100|,100|100|
8,100|100|,71;21;8|71;21;8|,71;21;8|71;21;8|,62;28;10|62;28;10|,62;28;10|62;28;10|,100|100|,0;0;0|0;0;0|,100|100|,62;28;10|62;28;10|,62;28;10|62;28;10|,100|100|,100|100|
9,100|100|,62;28;10|62;28;10|,62;28;10|62;28;10|,47;36;17|47;36;17|,47;36;17|47;36;17|,100|100|,0;0;0|0;0;0|,100|100|,47;36;17|47;36;17|,47;36;17|47;36;17|,100|100|,100|100|
10,100|100|,47;36;17|47;36;17|,47;36;17|47;36;17|,32;45;23|32;45;23|,32;45;23|32;45;23|,100|100|,0;0;0|0;0;0|,100|100|,32;45;23|32;45;23|,32;45;23|32;45;23|,100|100|,100|100|
11,100|100|,32;45;23|32;45;23|,32;45;23|32;45;23|,25;41;34|25;41;34|,25;41;34|25;41;34|,100|100|,0;0;0|0;0;0|,100|100|,25;41;34|25;41;34|,25;41;34|25;41;34|,100|100|,100|100|
12,100|100|,25;41;34|25;41;34|,25;41;34|25;41;34|,19;43;38|19;43;38|,19;43;38|19;43;38|,100|100|,0;0;0|0;0;0|,100|100|,19;43;38|19;43;38|,19;43;38|19;43;38|,100|100|,100|100|
13,100|100|,19;43;38|19;43;38|,19;43;38|19;43;38|,13;40;47|13;40;47|,13;40;47|13;40;47|,100|100|,0;0;0|0;0;0|,100|100|,13;40;47|13;40;47|,13;40;47|13;40;47|,100|100|,100|100|
14,100|100|,13;40;47|13;40;47|,13;40;47|13;40;47|,12;30;58|12;30;58|,12;30;58|12;30;58|,100|100|,0;0;0|0;0;0|,100|100|,12;30;58|12;30;58|,12;30;58|12;30;58|,100|100|,100|100|
15,100|100|,12;30;58|12;30;58|,12;30;58|12;30;58|,7;30;63|7;30;63|,7;30;63|7;30;63|,100|100|,0;0;0|0;0;0|,100|100|,7;30;63|7;30;63|,7;30;63|7;30;63|,100|100|,100|100|
16,100|100|,7;30;63|7;30;63|,7;30;63|7;30;63|,6;22;72|6;22;72|,6;22;72|6;22;72|,100|100|,0;0;0|0;0;0|,100|100|,6;22;72|6;22;72|,6;22;72|6;22;72|,100|100|,100|100|
17,100|100|,6;22;72|6;22;72|,6;22;72|6;22;72|,5;21;74|5;21;74|,5;21;74|5;21;74|,100|100|,0;0;0|0;0;0|,100|100|,5;21;74|5;21;74|,5;21;74|5;21;74|,100|100|,100|100|
18,100|100|,5;21;74|5;21;74|,5;21;74|5;21;74|,4;18;78|4;18;78|,4;18;78|4;18;78|,100|100|,0;0;0|0;0;0|,100|100|,4;18;78|4;18;78|,4;18;78|4;18;78|,100|100|,100|100|
19,100|100|,4;18;78|4;18;78|,4;18;78|4;18;78|,4;13;83|4;13;83|,4;13;83|4;13;83|,100|100|,0;0;0|0;0;0|,100|100|,4;13;83|4;13;83|,4;13;83|4;13;83|,100|100|,100|100|
20,100|100|,4;13;83|4;13;83|,4;13;83|4;13;83|,4;10;86|4;10;86|,4;10;86|4;10;86|,100|100|,0;0;0|0;0;0|,100|100|,4;10;86|4;10;86|,4;10;86|4;10;86|,100|100|,100|100|
21,100|100|,4;10;86|4;10;86|,4;10;86|4;10;86|,4;9;87|4;9;87|,4;9;87|4;9;87|,100|100|,0;0;0|0;0;0|,100|100|,4;9;87|4;9;87|,4;9;87|4;9;87|,100|100|,100|100|
22,100|100|,4;9;87|4;9;87|,4;9;87|4;9;87|,3;6;91|3;6;91|,3;6;91|3;6;91|,100|100|,0;0;0|0;0;0|,100|100|,3;6;91|3;6;91|,3;6;91|3;6;91|,100|100|,100|100|
23,100|100|,3;6;91|3;6;91|,3;6;91|3;6;91|,3;4;93|3;4;93|,3;4;93|3;4;93|,100|100|,0;0;0|0;0;0|,100|100|,3;4;93|3;4;93|,3;4;93|3;4;93|,100|100|,100|100|
24,100|100|,3;4;93|3;4;93|,3;4;93|3;4;93|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,0;0;0|0;0;0|,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,100|100|
25,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,0;0;0|0;0;0|,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,100|100|
26,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,0;0;0|0;0;0|,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,100|100|
27,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,0;0;0|0;0;0|,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,100|100|
28,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,0;0;0|0;0;0|,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,100|100|
29,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,0;0;0|0;0;0|,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,100|100|,100|100|
30,100|100|,3;1;96|3;1;96|,3;1;96|3;1;96|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
31,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
32,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
33,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
34,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
35,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
36,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
37,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
38,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
39,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
40,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
41,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
42,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
43,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
44,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
45,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
46,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
47,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
48,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
49,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
50,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
51,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
52,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
53,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
54,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
55,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
56,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
57,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
58,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
59,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
60,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
61,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
62,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
63,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
64,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
65,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
66,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
67,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,0;0;0|0;0;0|,100|100|,3;0;97|3;0;97|,3;0;97|3;0;97|,100|100|,100|100|
