Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;8;0|92;8;0|,92;8;0|92;8;0|,89;9;2|89;9;2|,89;9;2|89;9;2|,100|100|,0;0;0|0;0;0|,100|100|,89;9;2|89;9;2|,89;9;2|89;9;2|,100|100|,100|100|
1,100|100|,89;9;2|89;9;2|,89;9;2|89;9;2|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,0;0;0|0;0;0|,100|100|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,100|100|
2,100|100|,87;10;3|87;10;3|,87;10;3|87;10;3|,83;11;6|83;11;6|,83;11;6|83;11;6|,100|100|,0;0;0|0;0;0|,100|100|,83;11;6|83;11;6|,83;11;6|83;11;6|,100|100|,100|100|
3,100|100|,83;11;6|83;11;6|,83;11;6|83;11;6|,80;11;9|80;11;9|,80;11;9|80;11;9|,100|100|,0;0;0|0;0;0|,100|100|,80;11;9|80;11;9|,80;11;9|80;11;9|,100|100|,100|100|
4,100|100|,80;11;9|80;11;9|,80;11;9|80;11;9|,78;11;11|78;11;11|,78;11;11|78;11;11|,100|100|,0;0;0|0;0;0|,100|100|,78;11;11|78;11;11|,78;11;11|78;11;11|,100|100|,100|100|
5,100|100|,78;11;11|78;11;11|,78;11;11|78;11;11|,74;13;13|74;13;13|,74;13;13|74;13;13|,100|100|,0;0;0|0;0;0|,100|100|,74;13;13|74;13;13|,74;13;13|74;13;13|,100|100|,100|100|
6,100|100|,74;13;13|74;13;13|,74;13;13|74;13;13|,70;14;16|70;14;16|,70;14;16|70;14;16|,100|100|,0;0;0|0;0;0|,100|100|,70;14;16|70;14;16|,70;14;16|70;14;16|,100|100|,100|100|
7,100|100|,70;14;16|70;14;16|,70;14;16|70;14;16|,65;16;19|65;16;19|,65;16;19|65;16;19|,100|100|,0;0;0|0;0;0|,100|100|,65;16;19|65;16;19|,65;16;19|65;16;19|,100|100|,100|100|
8,100|100|,65;16;19|65;16;19|,65;16;19|65;16;19|,59;20;21|59;20;21|,59;20;21|59;20;21|,100|100|,0;0;0|0;0;0|,100|100|,59;20;21|59;20;21|,59;20;21|59;20;21|,100|100|,100|100|
9,100|100|,59;20;21|59;20;21|,59;20;21|59;20;21|,51;22;27|51;22;27|,51;22;27|51;22;27|,100|100|,0;0;0|0;0;0|,100|100|,51;22;27|51;22;27|,51;22;27|51;22;27|,100|100|,100|100|
10,100|100|,51;22;27|51;22;27|,51;22;27|51;22;27|,47;21;32|47;21;32|,47;21;32|47;21;32|,100|100|,0;0;0|0;0;0|,100|100|,47;21;32|47;21;32|,47;21;32|47;21;32|,100|100|,100|100|
11,100|100|,47;21;32|47;21;32|,47;21;32|47;21;32|,43;21;36|43;21;36|,43;21;36|43;21;36|,100|100|,0;0;0|0;0;0|,100|100|,43;21;36|43;21;36|,43;21;36|43;21;36|,100|100|,100|100|
12,100|100|,43;21;36|43;21;36|,43;21;36|43;21;36|,39;20;41|39;20;41|,39;20;41|39;20;41|,100|100|,0;0;0|0;0;0|,100|100|,39;20;41|39;20;41|,39;20;41|39;20;41|,100|100|,100|100|
13,100|100|,39;20;41|39;20;41|,39;20;41|39;20;41|,33;23;44|33;23;44|,33;23;44|33;23;44|,100|100|,0;0;0|0;0;0|,100|100|,33;23;44|33;23;44|,33;23;44|33;23;44|,100|100|,100|100|
14,100|100|,33;23;44|33;23;44|,33;23;44|33;23;44|,31;22;47|31;22;47|,31;22;47|31;22;47|,100|100|,0;0;0|0;0;0|,100|100|,31;22;47|31;22;47|,31;22;47|31;22;47|,100|100|,100|100|
15,100|100|,31;22;47|31;22;47|,31;22;47|31;22;47|,27;21;52|27;21;52|,27;21;52|27;21;52|,100|100|,0;0;0|0;0;0|,100|100|,27;21;52|27;21;52|,27;21;52|27;21;52|,100|100|,100|100|
16,100|100|,27;21;52|27;21;52|,27;21;52|27;21;52|,22;21;57|22;21;57|,22;21;57|22;21;57|,100|100|,0;0;0|0;0;0|,100|100|,22;21;57|22;21;57|,22;21;57|22;21;57|,100|100|,100|100|
17,100|100|,22;21;57|22;21;57|,22;21;57|22;21;57|,20;21;59|20;21;59|,20;21;59|20;21;59|,100|100|,0;0;0|0;0;0|,100|100|,20;21;59|20;21;59|,20;21;59|20;21;59|,100|100|,100|100|
18,100|100|,20;21;59|20;21;59|,20;21;59|20;21;59|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,0;0;0|0;0;0|,100|100|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,100|100|
19,100|100|,18;17;65|18;17;65|,18;17;65|18;17;65|,17;9;74|17;9;74|,17;9;74|17;9;74|,100|100|,0;0;0|0;0;0|,100|100|,17;9;74|17;9;74|,17;9;74|17;9;74|,100|100|,100|100|
20,100|100|,17;9;74|17;9;74|,17;9;74|17;9;74|,14;9;77|14;9;77|,14;9;77|14;9;77|,100|100|,0;0;0|0;0;0|,100|100|,14;9;77|14;9;77|,14;9;77|14;9;77|,100|100|,100|100|
21,100|100|,14;9;77|14;9;77|,14;9;77|14;9;77|,11;10;79|11;10;79|,11;10;79|11;10;79|,100|100|,0;0;0|0;0;0|,100|100|,11;10;79|11;10;79|,11;10;79|11;10;79|,100|100|,100|100|
22,100|100|,11;10;79|11;10;79|,11;10;79|11;10;79|,11;7;82|11;7;82|,11;7;82|11;7;82|,100|100|,0;0;0|0;0;0|,100|100|,11;7;82|11;7;82|,11;7;82|11;7;82|,100|100|,100|100|
23,100|100|,11;7;82|11;7;82|,11;7;82|11;7;82|,11;6;83|11;6;83|,11;6;83|11;6;83|,100|100|,0;0;0|0;0;0|,100|100|,11;6;83|11;6;83|,11;6;83|11;6;83|,100|100|,100|100|
24,100|100|,11;6;83|11;6;83|,11;6;83|11;6;83|,9;8;83|9;8;83|,9;8;83|9;8;83|,100|100|,0;0;0|0;0;0|,100|100|,9;8;83|9;8;83|,9;8;83|9;8;83|,100|100|,100|100|
25,100|100|,9;8;83|9;8;83|,9;8;83|9;8;83|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,0;0;0|0;0;0|,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,100|100|
26,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,9;6;85|9;6;85|,9;6;85|9;6;85|,100|100|,0;0;0|0;0;0|,100|100|,9;6;85|9;6;85|,9;6;85|9;6;85|,100|100|,100|100|
27,100|100|,9;6;85|9;6;85|,9;6;85|9;6;85|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
28,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
29,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;3;88|9;3;88|,9;3;88|9;3;88|,100|100|,0;0;0|0;0;0|,100|100|,9;3;88|9;3;88|,9;3;88|9;3;88|,100|100|,100|100|
30,100|100|,9;3;88|9;3;88|,9;3;88|9;3;88|,9;3;88|9;3;88|,9;3;88|9;3;88|,100|100|,0;0;0|0;0;0|,100|100|,9;3;88|9;3;88|,9;3;88|9;3;88|,100|100|,100|100|
