Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,93;7;0|93;7;0|,10.0|10.0|,93;7;0|93;7;0|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,0;0;0|0;0;0|,100|100|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,100|100|
1,100|100|,85;14;1|85;14;1|,9.2|9.2|,85;14;1|85;14;1|,79;19;2|79;19;2|,79;19;2|79;19;2|,100|100|,0;0;0|0;0;0|,100|100|,79;19;2|79;19;2|,79;19;2|79;19;2|,100|100|,100|100|
2,100|100|,79;19;2|79;19;2|,9.22|9.22|,79;19;2|79;19;2|,72;25;3|72;25;3|,72;25;3|72;25;3|,100|100|,0;0;0|0;0;0|,100|100|,72;25;3|72;25;3|,72;25;3|72;25;3|,100|100|,100|100|
3,100|100|,72;25;3|72;25;3|,9.74|9.74|,72;25;3|72;25;3|,67;29;4|67;29;4|,67;29;4|67;29;4|,100|100|,0;0;0|0;0;0|,100|100|,67;29;4|67;29;4|,67;29;4|67;29;4|,100|100|,100|100|
4,100|100|,67;29;4|67;29;4|,10.78|10.78|,67;29;4|67;29;4|,64;30;6|64;30;6|,64;30;6|64;30;6|,100|100|,0;0;0|0;0;0|,100|100|,64;30;6|64;30;6|,64;30;6|64;30;6|,100|100|,100|100|
5,100|100|,64;30;6|64;30;6|,12.06|12.06|,64;30;6|64;30;6|,56;37;7|56;37;7|,56;37;7|56;37;7|,100|100|,0;0;0|0;0;0|,100|100|,56;37;7|56;37;7|,56;37;7|56;37;7|,100|100|,100|100|
6,100|100|,56;37;7|56;37;7|,13.25|13.25|,56;37;7|56;37;7|,51;41;8|51;41;8|,51;41;8|51;41;8|,100|100|,0;0;0|0;0;0|,100|100|,51;41;8|51;41;8|,51;41;8|51;41;8|,100|100|,100|100|
7,100|100|,51;41;8|51;41;8|,14.96|14.96|,51;41;8|51;41;8|,44;47;9|44;47;9|,44;47;9|44;47;9|,100|100|,0;0;0|0;0;0|,100|100|,44;47;9|44;47;9|,44;47;9|44;47;9|,100|100|,100|100|
8,100|100|,44;47;9|44;47;9|,16.82|16.82|,44;47;9|44;47;9|,38;51;11|38;51;11|,38;51;11|38;51;11|,100|100|,0;0;0|0;0;0|,100|100|,38;51;11|38;51;11|,38;51;11|38;51;11|,100|100|,100|100|
9,100|100|,38;51;11|38;51;11|,19.0|19.0|,38;51;11|38;51;11|,31;56;13|31;56;13|,31;56;13|31;56;13|,100|100|,0;0;0|0;0;0|,100|100|,31;56;13|31;56;13|,31;56;13|31;56;13|,100|100|,100|100|
10,100|100|,31;56;13|31;56;13|,21.25|21.25|,31;56;13|31;56;13|,26;54;20|26;54;20|,26;54;20|26;54;20|,100|100|,0;0;0|0;0;0|,100|100|,26;54;20|26;54;20|,26;54;20|26;54;20|,100|100|,100|100|
11,100|100|,26;54;20|26;54;20|,23.66|23.66|,26;54;20|26;54;20|,16;61;23|16;61;23|,16;61;23|16;61;23|,100|100|,0;0;0|0;0;0|,100|100|,16;61;23|16;61;23|,16;61;23|16;61;23|,100|100|,100|100|
12,100|100|,16;61;23|16;61;23|,25.51|25.51|,16;61;23|16;61;23|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,0;0;0|0;0;0|,100|100|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,100|100|
13,100|100|,11;63;26|11;63;26|,27.78|27.78|,11;63;26|11;63;26|,8;61;31|8;61;31|,8;61;31|8;61;31|,100|100|,0;0;0|0;0;0|,100|100|,8;61;31|8;61;31|,8;61;31|8;61;31|,100|100|,100|100|
14,100|100|,8;61;31|8;61;31|,29.92|29.92|,8;61;31|8;61;31|,8;59;33|8;59;33|,8;59;33|8;59;33|,100|100|,0;0;0|0;0;0|,100|100|,8;59;33|8;59;33|,8;59;33|8;59;33|,100|100|,100|100|
15,100|100|,8;59;33|8;59;33|,31.53|31.53|,8;59;33|8;59;33|,6;58;36|6;58;36|,6;58;36|6;58;36|,100|100|,0;0;0|0;0;0|,100|100|,6;58;36|6;58;36|,6;58;36|6;58;36|,100|100|,100|100|
16,100|100|,6;58;36|6;58;36|,32.7|32.7|,6;58;36|6;58;36|,3;57;40|3;57;40|,3;57;40|3;57;40|,100|100|,0;0;0|0;0;0|,100|100|,3;57;40|3;57;40|,3;57;40|3;57;40|,100|100|,100|100|
17,100|100|,3;57;40|3;57;40|,33.59|33.59|,3;57;40|3;57;40|,3;54;43|3;54;43|,3;54;43|3;54;43|,100|100|,0;0;0|0;0;0|,100|100|,3;54;43|3;54;43|,3;54;43|3;54;43|,100|100|,100|100|
18,100|100|,3;54;43|3;54;43|,34.26|34.26|,3;54;43|3;54;43|,2;55;43|2;55;43|,2;55;43|2;55;43|,100|100|,0;0;0|0;0;0|,100|100|,2;55;43|2;55;43|,2;55;43|2;55;43|,100|100|,100|100|
19,100|100|,2;55;43|2;55;43|,34.52|34.52|,2;55;43|2;55;43|,2;51;47|2;51;47|,2;51;47|2;51;47|,100|100|,0;0;0|0;0;0|,100|100|,2;51;47|2;51;47|,2;51;47|2;51;47|,100|100|,100|100|
20,100|100|,2;51;47|2;51;47|,34.84|34.84|,2;51;47|2;51;47|,2;46;52|2;46;52|,2;46;52|2;46;52|,100|100|,0;0;0|0;0;0|,100|100|,2;46;52|2;46;52|,2;46;52|2;46;52|,100|100|,100|100|
21,100|100|,2;46;52|2;46;52|,34.71|34.71|,2;46;52|2;46;52|,2;44;54|2;44;54|,2;44;54|2;44;54|,100|100|,0;0;0|0;0;0|,100|100|,2;44;54|2;44;54|,2;44;54|2;44;54|,100|100|,100|100|
22,100|100|,2;44;54|2;44;54|,34.11|34.11|,2;44;54|2;44;54|,1;40;59|1;40;59|,1;40;59|1;40;59|,100|100|,0;0;0|0;0;0|,100|100|,1;40;59|1;40;59|,1;40;59|1;40;59|,100|100|,100|100|
23,100|100|,1;40;59|1;40;59|,33.39|33.39|,1;40;59|1;40;59|,1;37;62|1;37;62|,1;37;62|1;37;62|,100|100|,0;0;0|0;0;0|,100|100|,1;37;62|1;37;62|,1;37;62|1;37;62|,100|100|,100|100|
24,100|100|,1;37;62|1;37;62|,32.38|32.38|,1;37;62|1;37;62|,1;33;66|1;33;66|,1;33;66|1;33;66|,100|100|,0;0;0|0;0;0|,100|100|,1;33;66|1;33;66|,1;33;66|1;33;66|,100|100|,100|100|
25,100|100|,1;33;66|1;33;66|,31.22|31.22|,1;33;66|1;33;66|,1;32;67|1;32;67|,1;32;67|1;32;67|,100|100|,0;0;0|0;0;0|,100|100|,1;32;67|1;32;67|,1;32;67|1;32;67|,100|100|,100|100|
26,100|100|,1;32;67|1;32;67|,29.84|29.84|,1;32;67|1;32;67|,1;31;68|1;31;68|,1;31;68|1;31;68|,100|100|,0;0;0|0;0;0|,100|100|,1;31;68|1;31;68|,1;31;68|1;31;68|,100|100|,100|100|
27,100|100|,1;31;68|1;31;68|,28.56|28.56|,1;31;68|1;31;68|,1;31;68|1;31;68|,1;31;68|1;31;68|,100|100|,0;0;0|0;0;0|,100|100|,1;31;68|1;31;68|,1;31;68|1;31;68|,100|100|,100|100|
28,100|100|,1;31;68|1;31;68|,27.38|27.38|,1;31;68|1;31;68|,1;31;68|1;31;68|,1;31;68|1;31;68|,100|100|,0;0;0|0;0;0|,100|100|,1;31;68|1;31;68|,1;31;68|1;31;68|,100|100|,100|100|
29,100|100|,1;31;68|1;31;68|,26.37|26.37|,1;31;68|1;31;68|,1;27;72|1;27;72|,1;27;72|1;27;72|,100|100|,0;0;0|0;0;0|,100|100|,1;27;72|1;27;72|,1;27;72|1;27;72|,100|100|,100|100|
30,100|100|,1;27;72|1;27;72|,25.52|25.52|,1;27;72|1;27;72|,1;26;73|1;26;73|,1;26;73|1;26;73|,100|100|,0;0;0|0;0;0|,100|100|,1;26;73|1;26;73|,1;26;73|1;26;73|,100|100|,100|100|
31,100|100|,1;26;73|1;26;73|,24.39|24.39|,1;26;73|1;26;73|,1;26;73|1;26;73|,1;26;73|1;26;73|,100|100|,0;0;0|0;0;0|,100|100|,1;26;73|1;26;73|,1;26;73|1;26;73|,100|100|,100|100|
32,100|100|,1;26;73|1;26;73|,23.33|23.33|,1;26;73|1;26;73|,1;26;73|1;26;73|,1;26;73|1;26;73|,100|100|,0;0;0|0;0;0|,100|100|,1;26;73|1;26;73|,1;26;73|1;26;73|,100|100|,100|100|
33,100|100|,1;26;73|1;26;73|,22.43|22.43|,1;26;73|1;26;73|,1;25;74|1;25;74|,1;25;74|1;25;74|,100|100|,0;0;0|0;0;0|,100|100|,1;25;74|1;25;74|,1;25;74|1;25;74|,100|100|,100|100|
34,100|100|,1;25;74|1;25;74|,21.67|21.67|,1;25;74|1;25;74|,1;24;75|1;24;75|,1;24;75|1;24;75|,100|100|,0;0;0|0;0;0|,100|100|,1;24;75|1;24;75|,1;24;75|1;24;75|,100|100|,100|100|
35,100|100|,1;24;75|1;24;75|,20.92|20.92|,1;24;75|1;24;75|,1;23;76|1;23;76|,1;23;76|1;23;76|,100|100|,0;0;0|0;0;0|,100|100|,1;23;76|1;23;76|,1;23;76|1;23;76|,100|100|,100|100|
36,100|100|,1;23;76|1;23;76|,20.18|20.18|,1;23;76|1;23;76|,1;22;77|1;22;77|,1;22;77|1;22;77|,100|100|,0;0;0|0;0;0|,100|100|,1;22;77|1;22;77|,1;22;77|1;22;77|,100|100|,100|100|
37,100|100|,1;22;77|1;22;77|,19.45|19.45|,1;22;77|1;22;77|,1;22;77|1;22;77|,1;22;77|1;22;77|,100|100|,0;0;0|0;0;0|,100|100|,1;22;77|1;22;77|,1;22;77|1;22;77|,100|100|,100|100|
38,100|100|,1;22;77|1;22;77|,18.73|18.73|,1;22;77|1;22;77|,0;21;79|0;21;79|,0;21;79|0;21;79|,100|100|,0;0;0|0;0;0|,100|100|,0;21;79|0;21;79|,0;21;79|0;21;79|,100|100|,100|100|
39,100|100|,0;21;79|0;21;79|,18.12|18.12|,0;21;79|0;21;79|,0;21;79|0;21;79|,0;21;79|0;21;79|,100|100|,0;0;0|0;0;0|,100|100|,0;21;79|0;21;79|,0;21;79|0;21;79|,100|100|,100|100|
40,100|100|,0;21;79|0;21;79|,17.51|17.51|,0;21;79|0;21;79|,0;18;82|0;18;82|,0;18;82|0;18;82|,100|100|,0;0;0|0;0;0|,100|100|,0;18;82|0;18;82|,0;18;82|0;18;82|,100|100|,100|100|
41,100|100|,0;18;82|0;18;82|,16.98|16.98|,0;18;82|0;18;82|,0;18;82|0;18;82|,0;18;82|0;18;82|,100|100|,0;0;0|0;0;0|,100|100|,0;18;82|0;18;82|,0;18;82|0;18;82|,100|100|,100|100|
42,100|100|,0;18;82|0;18;82|,16.23|16.23|,0;18;82|0;18;82|,0;16;84|0;16;84|,0;16;84|0;16;84|,100|100|,0;0;0|0;0;0|,100|100|,0;16;84|0;16;84|,0;16;84|0;16;84|,100|100|,100|100|
43,100|100|,0;16;84|0;16;84|,15.6|15.6|,0;16;84|0;16;84|,0;16;84|0;16;84|,0;16;84|0;16;84|,100|100|,0;0;0|0;0;0|,100|100|,0;16;84|0;16;84|,0;16;84|0;16;84|,100|100|,100|100|
