Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,10.0|10.0|,88;12;0|88;12;0|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,0;0;0|0;0;0|,100|100|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,100|100|
1,100|100|,85;14;1|85;14;1|,9.7|9.7|,85;14;1|85;14;1|,78;21;1|78;21;1|,78;21;1|78;21;1|,100|100|,0;0;0|0;0;0|,100|100|,78;21;1|78;21;1|,78;21;1|78;21;1|,100|100|,100|100|
2,100|100|,78;21;1|78;21;1|,9.64|9.64|,78;21;1|78;21;1|,74;23;3|74;23;3|,74;23;3|74;23;3|,100|100|,0;0;0|0;0;0|,100|100|,74;23;3|74;23;3|,74;23;3|74;23;3|,100|100|,100|100|
3,100|100|,74;23;3|74;23;3|,10.3|10.3|,74;23;3|74;23;3|,69;28;3|69;28;3|,69;28;3|69;28;3|,100|100|,0;0;0|0;0;0|,100|100|,69;28;3|69;28;3|,69;28;3|69;28;3|,100|100|,100|100|
4,100|100|,69;28;3|69;28;3|,11.05|11.05|,69;28;3|69;28;3|,65;30;5|65;30;5|,65;30;5|65;30;5|,100|100|,0;0;0|0;0;0|,100|100|,65;30;5|65;30;5|,65;30;5|65;30;5|,100|100|,100|100|
5,100|100|,65;30;5|65;30;5|,12.2|12.2|,65;30;5|65;30;5|,60;35;5|60;35;5|,60;35;5|60;35;5|,100|100|,0;0;0|0;0;0|,100|100|,60;35;5|60;35;5|,60;35;5|60;35;5|,100|100|,100|100|
6,100|100|,60;35;5|60;35;5|,13.37|13.37|,60;35;5|60;35;5|,50;44;6|50;44;6|,50;44;6|50;44;6|,100|100|,0;0;0|0;0;0|,100|100|,50;44;6|50;44;6|,50;44;6|50;44;6|,100|100|,100|100|
7,100|100|,50;44;6|50;44;6|,14.86|14.86|,50;44;6|50;44;6|,44;47;9|44;47;9|,44;47;9|44;47;9|,100|100|,0;0;0|0;0;0|,100|100|,44;47;9|44;47;9|,44;47;9|44;47;9|,100|100|,100|100|
8,100|100|,44;47;9|44;47;9|,17.03|17.03|,44;47;9|44;47;9|,38;49;13|38;49;13|,38;49;13|38;49;13|,100|100|,0;0;0|0;0;0|,100|100|,38;49;13|38;49;13|,38;49;13|38;49;13|,100|100|,100|100|
9,100|100|,38;49;13|38;49;13|,19.18|19.18|,38;49;13|38;49;13|,33;50;17|33;50;17|,33;50;17|33;50;17|,100|100|,0;0;0|0;0;0|,100|100|,33;50;17|33;50;17|,33;50;17|33;50;17|,100|100|,100|100|
10,100|100|,33;50;17|33;50;17|,21.2|21.2|,33;50;17|33;50;17|,28;52;20|28;52;20|,28;52;20|28;52;20|,100|100|,0;0;0|0;0;0|,100|100|,28;52;20|28;52;20|,28;52;20|28;52;20|,100|100|,100|100|
11,100|100|,28;52;20|28;52;20|,23.02|23.02|,28;52;20|28;52;20|,26;54;20|26;54;20|,26;54;20|26;54;20|,100|100|,0;0;0|0;0;0|,100|100|,26;54;20|26;54;20|,26;54;20|26;54;20|,100|100|,100|100|
12,100|100|,26;54;20|26;54;20|,24.77|24.77|,26;54;20|26;54;20|,24;51;25|24;51;25|,24;51;25|24;51;25|,100|100|,0;0;0|0;0;0|,100|100|,24;51;25|24;51;25|,24;51;25|24;51;25|,100|100|,100|100|
13,100|100|,24;51;25|24;51;25|,26.45|26.45|,24;51;25|24;51;25|,16;56;28|16;56;28|,16;56;28|16;56;28|,100|100|,0;0;0|0;0;0|,100|100|,16;56;28|16;56;28|,16;56;28|16;56;28|,100|100|,100|100|
14,100|100|,16;56;28|16;56;28|,27.58|27.58|,16;56;28|16;56;28|,14;54;32|14;54;32|,14;54;32|14;54;32|,100|100|,0;0;0|0;0;0|,100|100|,14;54;32|14;54;32|,14;54;32|14;54;32|,100|100|,100|100|
15,100|100|,14;54;32|14;54;32|,29.05|29.05|,14;54;32|14;54;32|,10;54;36|10;54;36|,10;54;36|10;54;36|,100|100|,0;0;0|0;0;0|,100|100|,10;54;36|10;54;36|,10;54;36|10;54;36|,100|100|,100|100|
16,100|100|,10;54;36|10;54;36|,30.09|30.09|,10;54;36|10;54;36|,7;55;38|7;55;38|,7;55;38|7;55;38|,100|100|,0;0;0|0;0;0|,100|100|,7;55;38|7;55;38|,7;55;38|7;55;38|,100|100|,100|100|
17,100|100|,7;55;38|7;55;38|,30.98|30.98|,7;55;38|7;55;38|,5;55;40|5;55;40|,5;55;40|5;55;40|,100|100|,0;0;0|0;0;0|,100|100|,5;55;40|5;55;40|,5;55;40|5;55;40|,100|100|,100|100|
18,100|100|,5;55;40|5;55;40|,31.83|31.83|,5;55;40|5;55;40|,3;50;47|3;50;47|,3;50;47|3;50;47|,100|100|,0;0;0|0;0;0|,100|100|,3;50;47|3;50;47|,3;50;47|3;50;47|,100|100|,100|100|
19,100|100|,3;50;47|3;50;47|,32.56|32.56|,3;50;47|3;50;47|,3;49;48|3;49;48|,3;49;48|3;49;48|,100|100|,0;0;0|0;0;0|,100|100|,3;49;48|3;49;48|,3;49;48|3;49;48|,100|100|,100|100|
20,100|100|,3;49;48|3;49;48|,32.67|32.67|,3;49;48|3;49;48|,3;46;51|3;46;51|,3;46;51|3;46;51|,100|100|,0;0;0|0;0;0|,100|100|,3;46;51|3;46;51|,3;46;51|3;46;51|,100|100|,100|100|
21,100|100|,3;46;51|3;46;51|,32.67|32.67|,3;46;51|3;46;51|,3;43;54|3;43;54|,3;43;54|3;43;54|,100|100|,0;0;0|0;0;0|,100|100|,3;43;54|3;43;54|,3;43;54|3;43;54|,100|100|,100|100|
22,100|100|,3;43;54|3;43;54|,32.37|32.37|,3;43;54|3;43;54|,3;40;57|3;40;57|,3;40;57|3;40;57|,100|100|,0;0;0|0;0;0|,100|100|,3;40;57|3;40;57|,3;40;57|3;40;57|,100|100|,100|100|
23,100|100|,3;40;57|3;40;57|,31.81|31.81|,3;40;57|3;40;57|,2;38;60|2;38;60|,2;38;60|2;38;60|,100|100|,0;0;0|0;0;0|,100|100|,2;38;60|2;38;60|,2;38;60|2;38;60|,100|100|,100|100|
24,100|100|,2;38;60|2;38;60|,31.04|31.04|,2;38;60|2;38;60|,1;38;61|1;38;61|,1;38;61|1;38;61|,100|100|,0;0;0|0;0;0|,100|100|,1;38;61|1;38;61|,1;38;61|1;38;61|,100|100|,100|100|
25,100|100|,1;38;61|1;38;61|,30.19|30.19|,1;38;61|1;38;61|,0;38;62|0;38;62|,0;38;62|0;38;62|,100|100|,0;0;0|0;0;0|,100|100|,0;38;62|0;38;62|,0;38;62|0;38;62|,100|100|,100|100|
26,100|100|,0;38;62|0;38;62|,29.46|29.46|,0;38;62|0;38;62|,0;38;62|0;38;62|,0;38;62|0;38;62|,100|100|,0;0;0|0;0;0|,100|100|,0;38;62|0;38;62|,0;38;62|0;38;62|,100|100|,100|100|
