Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,82;18;0|82;18;0|,82;18;0|82;18;0|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,0;0;0|0;0;0|,100|100|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,100|100|
1,100|100|,74;21;5|74;21;5|,74;21;5|74;21;5|,70;23;7|70;23;7|,70;23;7|70;23;7|,100|100|,0;0;0|0;0;0|,100|100|,70;23;7|70;23;7|,70;23;7|70;23;7|,100|100|,100|100|
2,100|100|,70;23;7|70;23;7|,70;23;7|70;23;7|,64;26;10|64;26;10|,64;26;10|64;26;10|,100|100|,0;0;0|0;0;0|,100|100|,64;26;10|64;26;10|,64;26;10|64;26;10|,100|100|,100|100|
3,100|100|,64;26;10|64;26;10|,64;26;10|64;26;10|,55;28;17|55;28;17|,55;28;17|55;28;17|,100|100|,0;0;0|0;0;0|,100|100|,55;28;17|55;28;17|,55;28;17|55;28;17|,100|100|,100|100|
4,100|100|,55;28;17|55;28;17|,55;28;17|55;28;17|,52;31;17|52;31;17|,52;31;17|52;31;17|,100|100|,0;0;0|0;0;0|,100|100|,52;31;17|52;31;17|,52;31;17|52;31;17|,100|100|,100|100|
5,100|100|,52;31;17|52;31;17|,52;31;17|52;31;17|,42;37;21|42;37;21|,42;37;21|42;37;21|,100|100|,0;0;0|0;0;0|,100|100|,42;37;21|42;37;21|,42;37;21|42;37;21|,100|100|,100|100|
6,100|100|,42;37;21|42;37;21|,42;37;21|42;37;21|,34;40;26|34;40;26|,34;40;26|34;40;26|,100|100|,0;0;0|0;0;0|,100|100|,34;40;26|34;40;26|,34;40;26|34;40;26|,100|100|,100|100|
7,100|100|,34;40;26|34;40;26|,34;40;26|34;40;26|,34;43;23|34;43;23|,34;43;23|34;43;23|,100|100|,0;0;0|0;0;0|,100|100|,34;43;23|34;43;23|,34;43;23|34;43;23|,100|100|,100|100|
8,100|100|,34;43;23|34;43;23|,34;43;23|34;43;23|,32;39;29|32;39;29|,32;39;29|32;39;29|,100|100|,0;0;0|0;0;0|,100|100|,32;39;29|32;39;29|,32;39;29|32;39;29|,100|100|,100|100|
9,100|100|,32;39;29|32;39;29|,32;39;29|32;39;29|,31;41;28|31;41;28|,31;41;28|31;41;28|,100|100|,0;0;0|0;0;0|,100|100|,31;41;28|31;41;28|,31;41;28|31;41;28|,100|100|,100|100|
10,100|100|,31;41;28|31;41;28|,31;41;28|31;41;28|,29;36;35|29;36;35|,29;36;35|29;36;35|,100|100|,0;0;0|0;0;0|,100|100|,29;36;35|29;36;35|,29;36;35|29;36;35|,100|100|,100|100|
11,100|100|,29;36;35|29;36;35|,29;36;35|29;36;35|,31;33;36|31;33;36|,31;33;36|31;33;36|,100|100|,0;0;0|0;0;0|,100|100|,31;33;36|31;33;36|,31;33;36|31;33;36|,100|100|,100|100|
12,100|100|,31;33;36|31;33;36|,31;33;36|31;33;36|,37;33;30|37;33;30|,37;33;30|37;33;30|,100|100|,0;0;0|0;0;0|,100|100|,37;33;30|37;33;30|,37;33;30|37;33;30|,100|100|,100|100|
13,100|100|,37;33;30|37;33;30|,37;33;30|37;33;30|,37;33;30|37;33;30|,37;33;30|37;33;30|,100|100|,0;0;0|0;0;0|,100|100|,37;33;30|37;33;30|,37;33;30|37;33;30|,100|100|,100|100|
14,100|100|,37;33;30|37;33;30|,37;33;30|37;33;30|,38;31;31|38;31;31|,38;31;31|38;31;31|,100|100|,0;0;0|0;0;0|,100|100|,38;31;31|38;31;31|,38;31;31|38;31;31|,100|100|,100|100|
15,100|100|,38;31;31|38;31;31|,38;31;31|38;31;31|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,0;0;0|0;0;0|,100|100|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,100|100|
