Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,0.0|0.0|,90;10;0|90;10;0|,85;12;3|85;12;3|,85;12;3|85;12;3|,100|100|,0;0;0|0;0;0|,100|100|,85;12;3|85;12;3|,85;12;3|85;12;3|,100|100|,100|100|
1,100|100|,85;12;3|85;12;3|,0.0|0.0|,85;12;3|85;12;3|,78;17;5|78;17;5|,78;17;5|78;17;5|,100|100|,0;0;0|0;0;0|,100|100|,78;17;5|78;17;5|,78;17;5|78;17;5|,100|100|,100|100|
2,100|100|,78;17;5|78;17;5|,0.0|0.0|,78;17;5|78;17;5|,69;23;8|69;23;8|,69;23;8|69;23;8|,100|100|,0;0;0|0;0;0|,100|100|,69;23;8|69;23;8|,69;23;8|69;23;8|,100|100|,100|100|
3,100|100|,69;23;8|69;23;8|,0.0|0.0|,69;23;8|69;23;8|,63;20;17|63;20;17|,63;20;17|63;20;17|,100|100|,0;0;0|0;0;0|,100|100|,63;20;17|63;20;17|,63;20;17|63;20;17|,100|100|,100|100|
4,100|100|,63;20;17|63;20;17|,0.0|0.0|,63;20;17|63;20;17|,58;21;21|58;21;21|,58;21;21|58;21;21|,100|100|,0;0;0|0;0;0|,100|100|,58;21;21|58;21;21|,58;21;21|58;21;21|,100|100|,100|100|
5,100|100|,58;21;21|58;21;21|,0.0|0.0|,58;21;21|58;21;21|,54;20;26|54;20;26|,54;20;26|54;20;26|,100|100|,0;0;0|0;0;0|,100|100|,54;20;26|54;20;26|,54;20;26|54;20;26|,100|100|,100|100|
6,100|100|,54;20;26|54;20;26|,0.0|0.0|,54;20;26|54;20;26|,48;24;28|48;24;28|,48;24;28|48;24;28|,100|100|,0;0;0|0;0;0|,100|100|,48;24;28|48;24;28|,48;24;28|48;24;28|,100|100|,100|100|
7,100|100|,48;24;28|48;24;28|,0.0|0.0|,48;24;28|48;24;28|,40;28;32|40;28;32|,40;28;32|40;28;32|,100|100|,0;0;0|0;0;0|,100|100|,40;28;32|40;28;32|,40;28;32|40;28;32|,100|100|,100|100|
8,100|100|,40;28;32|40;28;32|,0.0|0.0|,40;28;32|40;28;32|,35;29;36|35;29;36|,35;29;36|35;29;36|,100|100|,0;0;0|0;0;0|,100|100|,35;29;36|35;29;36|,35;29;36|35;29;36|,100|100|,100|100|
9,100|100|,35;29;36|35;29;36|,0.0|0.0|,35;29;36|35;29;36|,30;26;44|30;26;44|,30;26;44|30;26;44|,100|100|,0;0;0|0;0;0|,100|100|,30;26;44|30;26;44|,30;26;44|30;26;44|,100|100|,100|100|
10,100|100|,30;26;44|30;26;44|,0.0|0.0|,30;26;44|30;26;44|,29;23;48|29;23;48|,29;23;48|29;23;48|,100|100|,0;0;0|0;0;0|,100|100|,29;23;48|29;23;48|,29;23;48|29;23;48|,100|100|,100|100|
11,100|100|,29;23;48|29;23;48|,0.0|0.0|,29;23;48|29;23;48|,27;23;50|27;23;50|,27;23;50|27;23;50|,100|100|,0;0;0|0;0;0|,100|100|,27;23;50|27;23;50|,27;23;50|27;23;50|,100|100|,100|100|
12,100|100|,27;23;50|27;23;50|,0.0|0.0|,27;23;50|27;23;50|,24;23;53|24;23;53|,24;23;53|24;23;53|,100|100|,0;0;0|0;0;0|,100|100|,24;23;53|24;23;53|,24;23;53|24;23;53|,100|100|,100|100|
13,100|100|,24;23;53|24;23;53|,0.0|0.0|,24;23;53|24;23;53|,22;19;59|22;19;59|,22;19;59|22;19;59|,100|100|,0;0;0|0;0;0|,100|100|,22;19;59|22;19;59|,22;19;59|22;19;59|,100|100|,100|100|
14,100|100|,22;19;59|22;19;59|,0.0|0.0|,22;19;59|22;19;59|,19;18;63|19;18;63|,19;18;63|19;18;63|,100|100|,0;0;0|0;0;0|,100|100|,19;18;63|19;18;63|,19;18;63|19;18;63|,100|100|,100|100|
15,100|100|,19;18;63|19;18;63|,0.0|0.0|,19;18;63|19;18;63|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,0;0;0|0;0;0|,100|100|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,100|100|
16,100|100|,18;17;65|18;17;65|,0.0|0.0|,18;17;65|18;17;65|,15;17;68|15;17;68|,15;17;68|15;17;68|,100|100|,0;0;0|0;0;0|,100|100|,15;17;68|15;17;68|,15;17;68|15;17;68|,100|100|,100|100|
