Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95;5;0|95;5;0|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
1,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94;6;0|94;6;0|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
2,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90;10;0|90;10;0|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
3,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84;15;1|84;15;1|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
4,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81;13;6|81;13;6|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
5,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75;17;8|75;17;8|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
6,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63;26;11|63;26;11|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
7,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58;25;17|58;25;17|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
8,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52;28;20|52;28;20|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
9,100.0|100.0|,1.0,100|100|,31.0|,0.0|,48|48|,52|52|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,100.0|100.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,100.0|100.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4956750000000001|0.4956750000000001|,0.535|0.535|,0.51,0.49,0.435,0.565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44;27;29|44;27;29|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
