Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,0.0|0.0|,90;10;0|90;10;0|,88;10;2|88;10;2|,88;10;2|88;10;2|,100|100|,0;0;0|0;0;0|,100|100|,88;10;2|88;10;2|,88;10;2|88;10;2|,100|100|,100|100|
1,100|100|,88;10;2|88;10;2|,0.0|0.0|,88;10;2|88;10;2|,84;13;3|84;13;3|,84;13;3|84;13;3|,100|100|,0;0;0|0;0;0|,100|100|,84;13;3|84;13;3|,84;13;3|84;13;3|,100|100|,100|100|
2,100|100|,84;13;3|84;13;3|,0.0|0.0|,84;13;3|84;13;3|,70;24;6|70;24;6|,70;24;6|70;24;6|,100|100|,0;0;0|0;0;0|,100|100|,70;24;6|70;24;6|,70;24;6|70;24;6|,100|100|,100|100|
3,100|100|,70;24;6|70;24;6|,0.0|0.0|,70;24;6|70;24;6|,58;26;16|58;26;16|,58;26;16|58;26;16|,100|100|,0;0;0|0;0;0|,100|100|,58;26;16|58;26;16|,58;26;16|58;26;16|,100|100|,100|100|
4,100|100|,58;26;16|58;26;16|,0.0|0.0|,58;26;16|58;26;16|,55;20;25|55;20;25|,55;20;25|55;20;25|,100|100|,0;0;0|0;0;0|,100|100|,55;20;25|55;20;25|,55;20;25|55;20;25|,100|100|,100|100|
5,100|100|,55;20;25|55;20;25|,0.0|0.0|,55;20;25|55;20;25|,48;25;27|48;25;27|,48;25;27|48;25;27|,100|100|,0;0;0|0;0;0|,100|100|,48;25;27|48;25;27|,48;25;27|48;25;27|,100|100|,100|100|
6,100|100|,48;25;27|48;25;27|,0.0|0.0|,48;25;27|48;25;27|,42;25;33|42;25;33|,42;25;33|42;25;33|,100|100|,0;0;0|0;0;0|,100|100|,42;25;33|42;25;33|,42;25;33|42;25;33|,100|100|,100|100|
7,100|100|,42;25;33|42;25;33|,0.0|0.0|,42;25;33|42;25;33|,33;24;43|33;24;43|,33;24;43|33;24;43|,100|100|,0;0;0|0;0;0|,100|100|,33;24;43|33;24;43|,33;24;43|33;24;43|,100|100|,100|100|
8,100|100|,33;24;43|33;24;43|,0.0|0.0|,33;24;43|33;24;43|,32;18;50|32;18;50|,32;18;50|32;18;50|,100|100|,0;0;0|0;0;0|,100|100|,32;18;50|32;18;50|,32;18;50|32;18;50|,100|100|,100|100|
9,100|100|,32;18;50|32;18;50|,0.0|0.0|,32;18;50|32;18;50|,28;19;53|28;19;53|,28;19;53|28;19;53|,100|100|,0;0;0|0;0;0|,100|100|,28;19;53|28;19;53|,28;19;53|28;19;53|,100|100|,100|100|
10,100|100|,28;19;53|28;19;53|,0.0|0.0|,28;19;53|28;19;53|,25;14;61|25;14;61|,25;14;61|25;14;61|,100|100|,0;0;0|0;0;0|,100|100|,25;14;61|25;14;61|,25;14;61|25;14;61|,100|100|,100|100|
11,100|100|,25;14;61|25;14;61|,0.0|0.0|,25;14;61|25;14;61|,25;14;61|25;14;61|,25;14;61|25;14;61|,100|100|,0;0;0|0;0;0|,100|100|,25;14;61|25;14;61|,25;14;61|25;14;61|,100|100|,100|100|
12,100|100|,25;14;61|25;14;61|,0.0|0.0|,25;14;61|25;14;61|,22;13;65|22;13;65|,22;13;65|22;13;65|,100|100|,0;0;0|0;0;0|,100|100|,22;13;65|22;13;65|,22;13;65|22;13;65|,100|100|,100|100|
13,100|100|,22;13;65|22;13;65|,0.0|0.0|,22;13;65|22;13;65|,18;15;67|18;15;67|,18;15;67|18;15;67|,100|100|,0;0;0|0;0;0|,100|100|,18;15;67|18;15;67|,18;15;67|18;15;67|,100|100|,100|100|
14,100|100|,18;15;67|18;15;67|,0.0|0.0|,18;15;67|18;15;67|,17;14;69|17;14;69|,17;14;69|17;14;69|,100|100|,0;0;0|0;0;0|,100|100|,17;14;69|17;14;69|,17;14;69|17;14;69|,100|100|,100|100|
15,100|100|,17;14;69|17;14;69|,0.0|0.0|,17;14;69|17;14;69|,16;14;70|16;14;70|,16;14;70|16;14;70|,100|100|,0;0;0|0;0;0|,100|100|,16;14;70|16;14;70|,16;14;70|16;14;70|,100|100|,100|100|
16,100|100|,16;14;70|16;14;70|,0.0|0.0|,16;14;70|16;14;70|,15;11;74|15;11;74|,15;11;74|15;11;74|,100|100|,0;0;0|0;0;0|,100|100|,15;11;74|15;11;74|,15;11;74|15;11;74|,100|100|,100|100|
17,100|100|,15;11;74|15;11;74|,0.0|0.0|,15;11;74|15;11;74|,14;10;76|14;10;76|,14;10;76|14;10;76|,100|100|,0;0;0|0;0;0|,100|100|,14;10;76|14;10;76|,14;10;76|14;10;76|,100|100|,100|100|
18,100|100|,14;10;76|14;10;76|,0.0|0.0|,14;10;76|14;10;76|,14;9;77|14;9;77|,14;9;77|14;9;77|,100|100|,0;0;0|0;0;0|,100|100|,14;9;77|14;9;77|,14;9;77|14;9;77|,100|100|,100|100|
