Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,96;4;0|96;4;0|,0.0|0.0|,96;4;0|96;4;0|,93;5;2|93;5;2|,93;5;2|93;5;2|,100|100|,0;0;0|0;0;0|,100|100|,93;5;2|93;5;2|,93;5;2|93;5;2|,100|100|,100|100|
1,100|100|,93;5;2|93;5;2|,0.0|0.0|,93;5;2|93;5;2|,90;6;4|90;6;4|,90;6;4|90;6;4|,100|100|,0;0;0|0;0;0|,100|100|,90;6;4|90;6;4|,90;6;4|90;6;4|,100|100|,100|100|
2,100|100|,90;6;4|90;6;4|,0.0|0.0|,90;6;4|90;6;4|,90;7;3|90;7;3|,90;7;3|90;7;3|,100|100|,0;0;0|0;0;0|,100|100|,90;7;3|90;7;3|,90;7;3|90;7;3|,100|100|,100|100|
3,100|100|,90;7;3|90;7;3|,0.0|0.0|,90;7;3|90;7;3|,86;9;5|86;9;5|,86;9;5|86;9;5|,100|100|,0;0;0|0;0;0|,100|100|,86;9;5|86;9;5|,86;9;5|86;9;5|,100|100|,100|100|
4,100|100|,86;9;5|86;9;5|,0.0|0.0|,86;9;5|86;9;5|,83;11;6|83;11;6|,83;11;6|83;11;6|,100|100|,0;0;0|0;0;0|,100|100|,83;11;6|83;11;6|,83;11;6|83;11;6|,100|100|,100|100|
5,100|100|,83;11;6|83;11;6|,0.0|0.0|,83;11;6|83;11;6|,81;14;5|81;14;5|,81;14;5|81;14;5|,100|100|,0;0;0|0;0;0|,100|100|,81;14;5|81;14;5|,81;14;5|81;14;5|,100|100|,100|100|
6,100|100|,81;14;5|81;14;5|,0.0|0.0|,81;14;5|81;14;5|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,0;0;0|0;0;0|,100|100|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,100|100|
7,100|100|,74;21;5|74;21;5|,0.0|0.0|,74;21;5|74;21;5|,70;23;7|70;23;7|,70;23;7|70;23;7|,100|100|,0;0;0|0;0;0|,100|100|,70;23;7|70;23;7|,70;23;7|70;23;7|,100|100|,100|100|
8,100|100|,70;23;7|70;23;7|,0.0|0.0|,70;23;7|70;23;7|,62;28;10|62;28;10|,62;28;10|62;28;10|,100|100|,0;0;0|0;0;0|,100|100|,62;28;10|62;28;10|,62;28;10|62;28;10|,100|100|,100|100|
9,100|100|,62;28;10|62;28;10|,0.0|0.0|,62;28;10|62;28;10|,53;35;12|53;35;12|,53;35;12|53;35;12|,100|100|,0;0;0|0;0;0|,100|100|,53;35;12|53;35;12|,53;35;12|53;35;12|,100|100|,100|100|
10,100|100|,53;35;12|53;35;12|,0.0|0.0|,53;35;12|53;35;12|,50;34;16|50;34;16|,50;34;16|50;34;16|,100|100|,0;0;0|0;0;0|,100|100|,50;34;16|50;34;16|,50;34;16|50;34;16|,100|100|,100|100|
11,100|100|,50;34;16|50;34;16|,0.0|0.0|,50;34;16|50;34;16|,43;39;18|43;39;18|,43;39;18|43;39;18|,100|100|,0;0;0|0;0;0|,100|100|,43;39;18|43;39;18|,43;39;18|43;39;18|,100|100|,100|100|
12,100|100|,43;39;18|43;39;18|,0.0|0.0|,43;39;18|43;39;18|,41;39;20|41;39;20|,41;39;20|41;39;20|,100|100|,0;0;0|0;0;0|,100|100|,41;39;20|41;39;20|,41;39;20|41;39;20|,100|100|,100|100|
13,100|100|,41;39;20|41;39;20|,0.0|0.0|,41;39;20|41;39;20|,32;38;30|32;38;30|,32;38;30|32;38;30|,100|100|,0;0;0|0;0;0|,100|100|,32;38;30|32;38;30|,32;38;30|32;38;30|,100|100|,100|100|
14,100|100|,32;38;30|32;38;30|,0.0|0.0|,32;38;30|32;38;30|,32;37;31|32;37;31|,32;37;31|32;37;31|,100|100|,0;0;0|0;0;0|,100|100|,32;37;31|32;37;31|,32;37;31|32;37;31|,100|100|,100|100|
15,100|100|,32;37;31|32;37;31|,0.0|0.0|,32;37;31|32;37;31|,35;29;36|35;29;36|,35;29;36|35;29;36|,100|100|,0;0;0|0;0;0|,100|100|,35;29;36|35;29;36|,35;29;36|35;29;36|,100|100|,100|100|
16,100|100|,35;29;36|35;29;36|,0.0|0.0|,35;29;36|35;29;36|,39;28;33|39;28;33|,39;28;33|39;28;33|,100|100|,0;0;0|0;0;0|,100|100|,39;28;33|39;28;33|,39;28;33|39;28;33|,100|100|,100|100|
17,100|100|,39;28;33|39;28;33|,0.0|0.0|,39;28;33|39;28;33|,36;27;37|36;27;37|,36;27;37|36;27;37|,100|100|,0;0;0|0;0;0|,100|100|,36;27;37|36;27;37|,36;27;37|36;27;37|,100|100|,100|100|
18,100|100|,36;27;37|36;27;37|,0.0|0.0|,36;27;37|36;27;37|,36;26;38|36;26;38|,36;26;38|36;26;38|,100|100|,0;0;0|0;0;0|,100|100|,36;26;38|36;26;38|,36;26;38|36;26;38|,100|100|,100|100|
19,100|100|,36;26;38|36;26;38|,0.0|0.0|,36;26;38|36;26;38|,34;26;40|34;26;40|,34;26;40|34;26;40|,100|100|,0;0;0|0;0;0|,100|100|,34;26;40|34;26;40|,34;26;40|34;26;40|,100|100|,100|100|
20,100|100|,34;26;40|34;26;40|,0.0|0.0|,34;26;40|34;26;40|,39;23;38|39;23;38|,39;23;38|39;23;38|,100|100|,0;0;0|0;0;0|,100|100|,39;23;38|39;23;38|,39;23;38|39;23;38|,100|100|,100|100|
21,100|100|,39;23;38|39;23;38|,0.0|0.0|,39;23;38|39;23;38|,42;23;35|42;23;35|,42;23;35|42;23;35|,100|100|,0;0;0|0;0;0|,100|100|,42;23;35|42;23;35|,42;23;35|42;23;35|,100|100|,100|100|
22,100|100|,42;23;35|42;23;35|,0.0|0.0|,42;23;35|42;23;35|,50;19;31|50;19;31|,50;19;31|50;19;31|,100|100|,0;0;0|0;0;0|,100|100|,50;19;31|50;19;31|,50;19;31|50;19;31|,100|100|,100|100|
23,100|100|,50;19;31|50;19;31|,0.0|0.0|,50;19;31|50;19;31|,52;20;28|52;20;28|,52;20;28|52;20;28|,100|100|,0;0;0|0;0;0|,100|100|,52;20;28|52;20;28|,52;20;28|52;20;28|,100|100|,100|100|
24,100|100|,52;20;28|52;20;28|,0.0|0.0|,52;20;28|52;20;28|,49;21;30|49;21;30|,49;21;30|49;21;30|,100|100|,0;0;0|0;0;0|,100|100|,49;21;30|49;21;30|,49;21;30|49;21;30|,100|100|,100|100|
25,100|100|,49;21;30|49;21;30|,0.0|0.0|,49;21;30|49;21;30|,48;23;29|48;23;29|,48;23;29|48;23;29|,100|100|,0;0;0|0;0;0|,100|100|,48;23;29|48;23;29|,48;23;29|48;23;29|,100|100|,100|100|
26,100|100|,48;23;29|48;23;29|,0.0|0.0|,48;23;29|48;23;29|,44;20;36|44;20;36|,44;20;36|44;20;36|,100|100|,0;0;0|0;0;0|,100|100|,44;20;36|44;20;36|,44;20;36|44;20;36|,100|100|,100|100|
27,100|100|,44;20;36|44;20;36|,0.0|0.0|,44;20;36|44;20;36|,45;19;36|45;19;36|,45;19;36|45;19;36|,100|100|,0;0;0|0;0;0|,100|100|,45;19;36|45;19;36|,45;19;36|45;19;36|,100|100|,100|100|
28,100|100|,45;19;36|45;19;36|,0.0|0.0|,45;19;36|45;19;36|,46;15;39|46;15;39|,46;15;39|46;15;39|,100|100|,0;0;0|0;0;0|,100|100|,46;15;39|46;15;39|,46;15;39|46;15;39|,100|100|,100|100|
29,100|100|,46;15;39|46;15;39|,0.0|0.0|,46;15;39|46;15;39|,50;15;35|50;15;35|,50;15;35|50;15;35|,100|100|,0;0;0|0;0;0|,100|100|,50;15;35|50;15;35|,50;15;35|50;15;35|,100|100|,100|100|
30,100|100|,50;15;35|50;15;35|,0.0|0.0|,50;15;35|50;15;35|,53;11;36|53;11;36|,53;11;36|53;11;36|,100|100|,0;0;0|0;0;0|,100|100|,53;11;36|53;11;36|,53;11;36|53;11;36|,100|100|,100|100|
