Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,85;15;0|85;15;0|,0.0|0.0|,85;15;0|85;15;0|,80;15;5|80;15;5|,80;15;5|80;15;5|,100|100|,0;0;0|0;0;0|,100|100|,80;15;5|80;15;5|,80;15;5|80;15;5|,100|100|,100|100|
1,100|100|,80;15;5|80;15;5|,0.0|0.0|,80;15;5|80;15;5|,75;16;9|75;16;9|,75;16;9|75;16;9|,100|100|,0;0;0|0;0;0|,100|100|,75;16;9|75;16;9|,75;16;9|75;16;9|,100|100|,100|100|
2,100|100|,75;16;9|75;16;9|,0.0|0.0|,75;16;9|75;16;9|,73;16;11|73;16;11|,73;16;11|73;16;11|,100|100|,0;0;0|0;0;0|,100|100|,73;16;11|73;16;11|,73;16;11|73;16;11|,100|100|,100|100|
3,100|100|,73;16;11|73;16;11|,0.0|0.0|,73;16;11|73;16;11|,69;17;14|69;17;14|,69;17;14|69;17;14|,100|100|,0;0;0|0;0;0|,100|100|,69;17;14|69;17;14|,69;17;14|69;17;14|,100|100|,100|100|
4,100|100|,69;17;14|69;17;14|,0.0|0.0|,69;17;14|69;17;14|,63;21;16|63;21;16|,63;21;16|63;21;16|,100|100|,0;0;0|0;0;0|,100|100|,63;21;16|63;21;16|,63;21;16|63;21;16|,100|100|,100|100|
5,100|100|,63;21;16|63;21;16|,0.0|0.0|,63;21;16|63;21;16|,55;26;19|55;26;19|,55;26;19|55;26;19|,100|100|,0;0;0|0;0;0|,100|100|,55;26;19|55;26;19|,55;26;19|55;26;19|,100|100|,100|100|
6,100|100|,55;26;19|55;26;19|,0.0|0.0|,55;26;19|55;26;19|,53;22;25|53;22;25|,53;22;25|53;22;25|,100|100|,0;0;0|0;0;0|,100|100|,53;22;25|53;22;25|,53;22;25|53;22;25|,100|100|,100|100|
7,100|100|,53;22;25|53;22;25|,0.0|0.0|,53;22;25|53;22;25|,47;24;29|47;24;29|,47;24;29|47;24;29|,100|100|,0;0;0|0;0;0|,100|100|,47;24;29|47;24;29|,47;24;29|47;24;29|,100|100|,100|100|
8,100|100|,47;24;29|47;24;29|,0.0|0.0|,47;24;29|47;24;29|,42;26;32|42;26;32|,42;26;32|42;26;32|,100|100|,0;0;0|0;0;0|,100|100|,42;26;32|42;26;32|,42;26;32|42;26;32|,100|100|,100|100|
9,100|100|,42;26;32|42;26;32|,0.0|0.0|,42;26;32|42;26;32|,39;24;37|39;24;37|,39;24;37|39;24;37|,100|100|,0;0;0|0;0;0|,100|100|,39;24;37|39;24;37|,39;24;37|39;24;37|,100|100|,100|100|
10,100|100|,39;24;37|39;24;37|,0.0|0.0|,39;24;37|39;24;37|,32;27;41|32;27;41|,32;27;41|32;27;41|,100|100|,0;0;0|0;0;0|,100|100|,32;27;41|32;27;41|,32;27;41|32;27;41|,100|100|,100|100|
11,100|100|,32;27;41|32;27;41|,0.0|0.0|,32;27;41|32;27;41|,28;25;47|28;25;47|,28;25;47|28;25;47|,100|100|,0;0;0|0;0;0|,100|100|,28;25;47|28;25;47|,28;25;47|28;25;47|,100|100|,100|100|
12,100|100|,28;25;47|28;25;47|,0.0|0.0|,28;25;47|28;25;47|,25;21;54|25;21;54|,25;21;54|25;21;54|,100|100|,0;0;0|0;0;0|,100|100|,25;21;54|25;21;54|,25;21;54|25;21;54|,100|100|,100|100|
13,100|100|,25;21;54|25;21;54|,0.0|0.0|,25;21;54|25;21;54|,22;21;57|22;21;57|,22;21;57|22;21;57|,100|100|,0;0;0|0;0;0|,100|100|,22;21;57|22;21;57|,22;21;57|22;21;57|,100|100|,100|100|
14,100|100|,22;21;57|22;21;57|,0.0|0.0|,22;21;57|22;21;57|,19;18;63|19;18;63|,19;18;63|19;18;63|,100|100|,0;0;0|0;0;0|,100|100|,19;18;63|19;18;63|,19;18;63|19;18;63|,100|100|,100|100|
15,100|100|,19;18;63|19;18;63|,0.0|0.0|,19;18;63|19;18;63|,16;18;66|16;18;66|,16;18;66|16;18;66|,100|100|,0;0;0|0;0;0|,100|100|,16;18;66|16;18;66|,16;18;66|16;18;66|,100|100|,100|100|
16,100|100|,16;18;66|16;18;66|,0.0|0.0|,16;18;66|16;18;66|,13;17;70|13;17;70|,13;17;70|13;17;70|,100|100|,0;0;0|0;0;0|,100|100|,13;17;70|13;17;70|,13;17;70|13;17;70|,100|100|,100|100|
17,100|100|,13;17;70|13;17;70|,0.0|0.0|,13;17;70|13;17;70|,13;14;73|13;14;73|,13;14;73|13;14;73|,100|100|,0;0;0|0;0;0|,100|100|,13;14;73|13;14;73|,13;14;73|13;14;73|,100|100|,100|100|
18,100|100|,13;14;73|13;14;73|,0.0|0.0|,13;14;73|13;14;73|,13;12;75|13;12;75|,13;12;75|13;12;75|,100|100|,0;0;0|0;0;0|,100|100|,13;12;75|13;12;75|,13;12;75|13;12;75|,100|100|,100|100|
19,100|100|,13;12;75|13;12;75|,0.0|0.0|,13;12;75|13;12;75|,13;9;78|13;9;78|,13;9;78|13;9;78|,100|100|,0;0;0|0;0;0|,100|100|,13;9;78|13;9;78|,13;9;78|13;9;78|,100|100|,100|100|
20,100|100|,13;9;78|13;9;78|,0.0|0.0|,13;9;78|13;9;78|,13;8;79|13;8;79|,13;8;79|13;8;79|,100|100|,0;0;0|0;0;0|,100|100|,13;8;79|13;8;79|,13;8;79|13;8;79|,100|100|,100|100|
21,100|100|,13;8;79|13;8;79|,0.0|0.0|,13;8;79|13;8;79|,12;6;82|12;6;82|,12;6;82|12;6;82|,100|100|,0;0;0|0;0;0|,100|100|,12;6;82|12;6;82|,12;6;82|12;6;82|,100|100|,100|100|
22,100|100|,12;6;82|12;6;82|,0.0|0.0|,12;6;82|12;6;82|,10;6;84|10;6;84|,10;6;84|10;6;84|,100|100|,0;0;0|0;0;0|,100|100|,10;6;84|10;6;84|,10;6;84|10;6;84|,100|100|,100|100|
23,100|100|,10;6;84|10;6;84|,0.0|0.0|,10;6;84|10;6;84|,8;5;87|8;5;87|,8;5;87|8;5;87|,100|100|,0;0;0|0;0;0|,100|100|,8;5;87|8;5;87|,8;5;87|8;5;87|,100|100|,100|100|
24,100|100|,8;5;87|8;5;87|,0.0|0.0|,8;5;87|8;5;87|,8;5;87|8;5;87|,8;5;87|8;5;87|,100|100|,0;0;0|0;0;0|,100|100|,8;5;87|8;5;87|,8;5;87|8;5;87|,100|100|,100|100|
25,100|100|,8;5;87|8;5;87|,0.0|0.0|,8;5;87|8;5;87|,8;4;88|8;4;88|,8;4;88|8;4;88|,100|100|,0;0;0|0;0;0|,100|100|,8;4;88|8;4;88|,8;4;88|8;4;88|,100|100|,100|100|
26,100|100|,8;4;88|8;4;88|,0.0|0.0|,8;4;88|8;4;88|,8;4;88|8;4;88|,8;4;88|8;4;88|,100|100|,0;0;0|0;0;0|,100|100|,8;4;88|8;4;88|,8;4;88|8;4;88|,100|100|,100|100|
27,100|100|,8;4;88|8;4;88|,0.0|0.0|,8;4;88|8;4;88|,7;3;90|7;3;90|,7;3;90|7;3;90|,100|100|,0;0;0|0;0;0|,100|100|,7;3;90|7;3;90|,7;3;90|7;3;90|,100|100|,100|100|
28,100|100|,7;3;90|7;3;90|,0.0|0.0|,7;3;90|7;3;90|,7;2;91|7;2;91|,7;2;91|7;2;91|,100|100|,0;0;0|0;0;0|,100|100|,7;2;91|7;2;91|,7;2;91|7;2;91|,100|100|,100|100|
29,100|100|,7;2;91|7;2;91|,0.0|0.0|,7;2;91|7;2;91|,7;2;91|7;2;91|,7;2;91|7;2;91|,100|100|,0;0;0|0;0;0|,100|100|,7;2;91|7;2;91|,7;2;91|7;2;91|,100|100|,100|100|
30,100|100|,7;2;91|7;2;91|,0.0|0.0|,7;2;91|7;2;91|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,0;0;0|0;0;0|,100|100|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,100|100|
31,100|100|,7;1;92|7;1;92|,0.0|0.0|,7;1;92|7;1;92|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,0;0;0|0;0;0|,100|100|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,100|100|
32,100|100|,7;1;92|7;1;92|,0.0|0.0|,7;1;92|7;1;92|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,0;0;0|0;0;0|,100|100|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,100|100|
33,100|100|,7;1;92|7;1;92|,0.0|0.0|,7;1;92|7;1;92|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,0;0;0|0;0;0|,100|100|,7;1;92|7;1;92|,7;1;92|7;1;92|,100|100|,100|100|
34,100|100|,7;1;92|7;1;92|,0.0|0.0|,7;1;92|7;1;92|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
35,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
36,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
37,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
38,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
39,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
40,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
41,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
42,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
43,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
44,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
45,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
46,100|100|,7;0;93|7;0;93|,0.0|0.0|,7;0;93|7;0;93|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,0;0;0|0;0;0|,100|100|,7;0;93|7;0;93|,7;0;93|7;0;93|,100|100|,100|100|
