Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,0.0|0.0|,90;10;0|90;10;0|,79;19;2|79;19;2|,79;19;2|79;19;2|,100|100|,0;0;0|0;0;0|,100|100|,79;19;2|79;19;2|,79;19;2|79;19;2|,100|100|,100|100|
1,100|100|,79;19;2|79;19;2|,0.0|0.0|,79;19;2|79;19;2|,73;20;7|73;20;7|,73;20;7|73;20;7|,100|100|,0;0;0|0;0;0|,100|100|,73;20;7|73;20;7|,73;20;7|73;20;7|,100|100|,100|100|
2,100|100|,73;20;7|73;20;7|,0.0|0.0|,73;20;7|73;20;7|,65;24;11|65;24;11|,65;24;11|65;24;11|,100|100|,0;0;0|0;0;0|,100|100|,65;24;11|65;24;11|,65;24;11|65;24;11|,100|100|,100|100|
3,100|100|,65;24;11|65;24;11|,0.0|0.0|,65;24;11|65;24;11|,61;27;12|61;27;12|,61;27;12|61;27;12|,100|100|,0;0;0|0;0;0|,100|100|,61;27;12|61;27;12|,61;27;12|61;27;12|,100|100|,100|100|
4,100|100|,61;27;12|61;27;12|,0.0|0.0|,61;27;12|61;27;12|,50;32;18|50;32;18|,50;32;18|50;32;18|,100|100|,0;0;0|0;0;0|,100|100|,50;32;18|50;32;18|,50;32;18|50;32;18|,100|100|,100|100|
5,100|100|,50;32;18|50;32;18|,0.0|0.0|,50;32;18|50;32;18|,43;29;28|43;29;28|,43;29;28|43;29;28|,100|100|,0;0;0|0;0;0|,100|100|,43;29;28|43;29;28|,43;29;28|43;29;28|,100|100|,100|100|
6,100|100|,43;29;28|43;29;28|,0.0|0.0|,43;29;28|43;29;28|,40;27;33|40;27;33|,40;27;33|40;27;33|,100|100|,0;0;0|0;0;0|,100|100|,40;27;33|40;27;33|,40;27;33|40;27;33|,100|100|,100|100|
7,100|100|,40;27;33|40;27;33|,0.0|0.0|,40;27;33|40;27;33|,35;23;42|35;23;42|,35;23;42|35;23;42|,100|100|,0;0;0|0;0;0|,100|100|,35;23;42|35;23;42|,35;23;42|35;23;42|,100|100|,100|100|
8,100|100|,35;23;42|35;23;42|,0.0|0.0|,35;23;42|35;23;42|,30;22;48|30;22;48|,30;22;48|30;22;48|,100|100|,0;0;0|0;0;0|,100|100|,30;22;48|30;22;48|,30;22;48|30;22;48|,100|100|,100|100|
9,100|100|,30;22;48|30;22;48|,0.0|0.0|,30;22;48|30;22;48|,29;17;54|29;17;54|,29;17;54|29;17;54|,100|100|,0;0;0|0;0;0|,100|100|,29;17;54|29;17;54|,29;17;54|29;17;54|,100|100|,100|100|
10,100|100|,29;17;54|29;17;54|,0.0|0.0|,29;17;54|29;17;54|,25;14;61|25;14;61|,25;14;61|25;14;61|,100|100|,0;0;0|0;0;0|,100|100|,25;14;61|25;14;61|,25;14;61|25;14;61|,100|100|,100|100|
11,100|100|,25;14;61|25;14;61|,0.0|0.0|,25;14;61|25;14;61|,24;15;61|24;15;61|,24;15;61|24;15;61|,100|100|,0;0;0|0;0;0|,100|100|,24;15;61|24;15;61|,24;15;61|24;15;61|,100|100|,100|100|
12,100|100|,24;15;61|24;15;61|,0.0|0.0|,24;15;61|24;15;61|,23;14;63|23;14;63|,23;14;63|23;14;63|,100|100|,0;0;0|0;0;0|,100|100|,23;14;63|23;14;63|,23;14;63|23;14;63|,100|100|,100|100|
13,100|100|,23;14;63|23;14;63|,0.0|0.0|,23;14;63|23;14;63|,23;11;66|23;11;66|,23;11;66|23;11;66|,100|100|,0;0;0|0;0;0|,100|100|,23;11;66|23;11;66|,23;11;66|23;11;66|,100|100|,100|100|
14,100|100|,23;11;66|23;11;66|,0.0|0.0|,23;11;66|23;11;66|,23;9;68|23;9;68|,23;9;68|23;9;68|,100|100|,0;0;0|0;0;0|,100|100|,23;9;68|23;9;68|,23;9;68|23;9;68|,100|100|,100|100|
15,100|100|,23;9;68|23;9;68|,0.0|0.0|,23;9;68|23;9;68|,21;10;69|21;10;69|,21;10;69|21;10;69|,100|100|,0;0;0|0;0;0|,100|100|,21;10;69|21;10;69|,21;10;69|21;10;69|,100|100|,100|100|
16,100|100|,21;10;69|21;10;69|,0.0|0.0|,21;10;69|21;10;69|,20;9;71|20;9;71|,20;9;71|20;9;71|,100|100|,0;0;0|0;0;0|,100|100|,20;9;71|20;9;71|,20;9;71|20;9;71|,100|100|,100|100|
17,100|100|,20;9;71|20;9;71|,0.0|0.0|,20;9;71|20;9;71|,18;8;74|18;8;74|,18;8;74|18;8;74|,100|100|,0;0;0|0;0;0|,100|100|,18;8;74|18;8;74|,18;8;74|18;8;74|,100|100|,100|100|
18,100|100|,18;8;74|18;8;74|,0.0|0.0|,18;8;74|18;8;74|,17;6;77|17;6;77|,17;6;77|17;6;77|,100|100|,0;0;0|0;0;0|,100|100|,17;6;77|17;6;77|,17;6;77|17;6;77|,100|100|,100|100|
19,100|100|,17;6;77|17;6;77|,0.0|0.0|,17;6;77|17;6;77|,17;4;79|17;4;79|,17;4;79|17;4;79|,100|100|,0;0;0|0;0;0|,100|100|,17;4;79|17;4;79|,17;4;79|17;4;79|,100|100|,100|100|
20,100|100|,17;4;79|17;4;79|,0.0|0.0|,17;4;79|17;4;79|,17;2;81|17;2;81|,17;2;81|17;2;81|,100|100|,0;0;0|0;0;0|,100|100|,17;2;81|17;2;81|,17;2;81|17;2;81|,100|100|,100|100|
21,100|100|,17;2;81|17;2;81|,0.0|0.0|,17;2;81|17;2;81|,17;1;82|17;1;82|,17;1;82|17;1;82|,100|100|,0;0;0|0;0;0|,100|100|,17;1;82|17;1;82|,17;1;82|17;1;82|,100|100|,100|100|
22,100|100|,17;1;82|17;1;82|,0.0|0.0|,17;1;82|17;1;82|,17;1;82|17;1;82|,17;1;82|17;1;82|,100|100|,0;0;0|0;0;0|,100|100|,17;1;82|17;1;82|,17;1;82|17;1;82|,100|100|,100|100|
23,100|100|,17;1;82|17;1;82|,0.0|0.0|,17;1;82|17;1;82|,16;2;82|16;2;82|,16;2;82|16;2;82|,100|100|,0;0;0|0;0;0|,100|100|,16;2;82|16;2;82|,16;2;82|16;2;82|,100|100|,100|100|
24,100|100|,16;2;82|16;2;82|,0.0|0.0|,16;2;82|16;2;82|,16;2;82|16;2;82|,16;2;82|16;2;82|,100|100|,0;0;0|0;0;0|,100|100|,16;2;82|16;2;82|,16;2;82|16;2;82|,100|100|,100|100|
