Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,82;18;0|82;18;0|,0.0|0.0|,82;18;0|82;18;0|,73;25;2|73;25;2|,73;25;2|73;25;2|,100|100|,0;0;0|0;0;0|,100|100|,73;25;2|73;25;2|,73;25;2|73;25;2|,100|100|,100|100|
1,100|100|,73;25;2|73;25;2|,0.0|0.0|,73;25;2|73;25;2|,67;26;7|67;26;7|,67;26;7|67;26;7|,100|100|,0;0;0|0;0;0|,100|100|,67;26;7|67;26;7|,67;26;7|67;26;7|,100|100|,100|100|
2,100|100|,67;26;7|67;26;7|,0.0|0.0|,67;26;7|67;26;7|,59;31;10|59;31;10|,59;31;10|59;31;10|,100|100|,0;0;0|0;0;0|,100|100|,59;31;10|59;31;10|,59;31;10|59;31;10|,100|100|,100|100|
3,100|100|,59;31;10|59;31;10|,0.0|0.0|,59;31;10|59;31;10|,48;33;19|48;33;19|,48;33;19|48;33;19|,100|100|,0;0;0|0;0;0|,100|100|,48;33;19|48;33;19|,48;33;19|48;33;19|,100|100|,100|100|
4,100|100|,48;33;19|48;33;19|,0.0|0.0|,48;33;19|48;33;19|,39;34;27|39;34;27|,39;34;27|39;34;27|,100|100|,0;0;0|0;0;0|,100|100|,39;34;27|39;34;27|,39;34;27|39;34;27|,100|100|,100|100|
5,100|100|,39;34;27|39;34;27|,0.0|0.0|,39;34;27|39;34;27|,28;39;33|28;39;33|,28;39;33|28;39;33|,100|100|,0;0;0|0;0;0|,100|100|,28;39;33|28;39;33|,28;39;33|28;39;33|,100|100|,100|100|
6,100|100|,28;39;33|28;39;33|,0.0|0.0|,28;39;33|28;39;33|,22;36;42|22;36;42|,22;36;42|22;36;42|,100|100|,0;0;0|0;0;0|,100|100|,22;36;42|22;36;42|,22;36;42|22;36;42|,100|100|,100|100|
7,100|100|,22;36;42|22;36;42|,0.0|0.0|,22;36;42|22;36;42|,19;35;46|19;35;46|,19;35;46|19;35;46|,100|100|,0;0;0|0;0;0|,100|100|,19;35;46|19;35;46|,19;35;46|19;35;46|,100|100|,100|100|
8,100|100|,19;35;46|19;35;46|,0.0|0.0|,19;35;46|19;35;46|,16;32;52|16;32;52|,16;32;52|16;32;52|,100|100|,0;0;0|0;0;0|,100|100|,16;32;52|16;32;52|,16;32;52|16;32;52|,100|100|,100|100|
9,100|100|,16;32;52|16;32;52|,0.0|0.0|,16;32;52|16;32;52|,12;30;58|12;30;58|,12;30;58|12;30;58|,100|100|,0;0;0|0;0;0|,100|100|,12;30;58|12;30;58|,12;30;58|12;30;58|,100|100|,100|100|
10,100|100|,12;30;58|12;30;58|,0.0|0.0|,12;30;58|12;30;58|,10;27;63|10;27;63|,10;27;63|10;27;63|,100|100|,0;0;0|0;0;0|,100|100|,10;27;63|10;27;63|,10;27;63|10;27;63|,100|100|,100|100|
11,100|100|,10;27;63|10;27;63|,0.0|0.0|,10;27;63|10;27;63|,7;22;71|7;22;71|,7;22;71|7;22;71|,100|100|,0;0;0|0;0;0|,100|100|,7;22;71|7;22;71|,7;22;71|7;22;71|,100|100|,100|100|
12,100|100|,7;22;71|7;22;71|,0.0|0.0|,7;22;71|7;22;71|,6;19;75|6;19;75|,6;19;75|6;19;75|,100|100|,0;0;0|0;0;0|,100|100|,6;19;75|6;19;75|,6;19;75|6;19;75|,100|100|,100|100|
13,100|100|,6;19;75|6;19;75|,0.0|0.0|,6;19;75|6;19;75|,6;13;81|6;13;81|,6;13;81|6;13;81|,100|100|,0;0;0|0;0;0|,100|100|,6;13;81|6;13;81|,6;13;81|6;13;81|,100|100|,100|100|
14,100|100|,6;13;81|6;13;81|,0.0|0.0|,6;13;81|6;13;81|,6;13;81|6;13;81|,6;13;81|6;13;81|,100|100|,0;0;0|0;0;0|,100|100|,6;13;81|6;13;81|,6;13;81|6;13;81|,100|100|,100|100|
15,100|100|,6;13;81|6;13;81|,0.0|0.0|,6;13;81|6;13;81|,6;7;87|6;7;87|,6;7;87|6;7;87|,100|100|,0;0;0|0;0;0|,100|100|,6;7;87|6;7;87|,6;7;87|6;7;87|,100|100|,100|100|
16,100|100|,6;7;87|6;7;87|,0.0|0.0|,6;7;87|6;7;87|,6;6;88|6;6;88|,6;6;88|6;6;88|,100|100|,0;0;0|0;0;0|,100|100|,6;6;88|6;6;88|,6;6;88|6;6;88|,100|100|,100|100|
17,100|100|,6;6;88|6;6;88|,0.0|0.0|,6;6;88|6;6;88|,6;4;90|6;4;90|,6;4;90|6;4;90|,100|100|,0;0;0|0;0;0|,100|100|,6;4;90|6;4;90|,6;4;90|6;4;90|,100|100|,100|100|
18,100|100|,6;4;90|6;4;90|,0.0|0.0|,6;4;90|6;4;90|,6;4;90|6;4;90|,6;4;90|6;4;90|,100|100|,0;0;0|0;0;0|,100|100|,6;4;90|6;4;90|,6;4;90|6;4;90|,100|100|,100|100|
19,100|100|,6;4;90|6;4;90|,0.0|0.0|,6;4;90|6;4;90|,6;3;91|6;3;91|,6;3;91|6;3;91|,100|100|,0;0;0|0;0;0|,100|100|,6;3;91|6;3;91|,6;3;91|6;3;91|,100|100|,100|100|
20,100|100|,6;3;91|6;3;91|,0.0|0.0|,6;3;91|6;3;91|,6;2;92|6;2;92|,6;2;92|6;2;92|,100|100|,0;0;0|0;0;0|,100|100|,6;2;92|6;2;92|,6;2;92|6;2;92|,100|100|,100|100|
21,100|100|,6;2;92|6;2;92|,0.0|0.0|,6;2;92|6;2;92|,6;2;92|6;2;92|,6;2;92|6;2;92|,100|100|,0;0;0|0;0;0|,100|100|,6;2;92|6;2;92|,6;2;92|6;2;92|,100|100|,100|100|
22,100|100|,6;2;92|6;2;92|,0.0|0.0|,6;2;92|6;2;92|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
23,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
24,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
25,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
26,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
27,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
28,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
29,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
30,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
31,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
32,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,0;0;0|0;0;0|,100|100|,6;1;93|6;1;93|,6;1;93|6;1;93|,100|100|,100|100|
33,100|100|,6;1;93|6;1;93|,0.0|0.0|,6;1;93|6;1;93|,5;1;94|5;1;94|,5;1;94|5;1;94|,100|100|,0;0;0|0;0;0|,100|100|,5;1;94|5;1;94|,5;1;94|5;1;94|,100|100|,100|100|
34,100|100|,5;1;94|5;1;94|,0.0|0.0|,5;1;94|5;1;94|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
35,100|100|,5;0;95|5;0;95|,0.0|0.0|,5;0;95|5;0;95|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
36,100|100|,5;0;95|5;0;95|,0.0|0.0|,5;0;95|5;0;95|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
37,100|100|,5;0;95|5;0;95|,0.0|0.0|,5;0;95|5;0;95|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
38,100|100|,5;0;95|5;0;95|,0.0|0.0|,5;0;95|5;0;95|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
39,100|100|,5;0;95|5;0;95|,0.0|0.0|,5;0;95|5;0;95|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
40,100|100|,5;0;95|5;0;95|,0.0|0.0|,5;0;95|5;0;95|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
41,100|100|,5;0;95|5;0;95|,0.0|0.0|,5;0;95|5;0;95|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,0;0;0|0;0;0|,100|100|,5;0;95|5;0;95|,5;0;95|5;0;95|,100|100|,100|100|
