Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,96;4;0|96;4;0|,0.0|0.0|,96;4;0|96;4;0|,92;6;2|92;6;2|,92;6;2|92;6;2|,100|100|,0;0;0|0;0;0|,100|100|,92;6;2|92;6;2|,92;6;2|92;6;2|,100|100|,100|100|
1,100|100|,92;6;2|92;6;2|,0.0|0.0|,92;6;2|92;6;2|,90;8;2|90;8;2|,90;8;2|90;8;2|,100|100|,0;0;0|0;0;0|,100|100|,90;8;2|90;8;2|,90;8;2|90;8;2|,100|100|,100|100|
2,100|100|,90;8;2|90;8;2|,0.0|0.0|,90;8;2|90;8;2|,88;9;3|88;9;3|,88;9;3|88;9;3|,100|100|,0;0;0|0;0;0|,100|100|,88;9;3|88;9;3|,88;9;3|88;9;3|,100|100|,100|100|
3,100|100|,88;9;3|88;9;3|,0.0|0.0|,88;9;3|88;9;3|,85;11;4|85;11;4|,85;11;4|85;11;4|,100|100|,0;0;0|0;0;0|,100|100|,85;11;4|85;11;4|,85;11;4|85;11;4|,100|100|,100|100|
4,100|100|,85;11;4|85;11;4|,0.0|0.0|,85;11;4|85;11;4|,79;16;5|79;16;5|,79;16;5|79;16;5|,100|100|,0;0;0|0;0;0|,100|100|,79;16;5|79;16;5|,79;16;5|79;16;5|,100|100|,100|100|
5,100|100|,79;16;5|79;16;5|,0.0|0.0|,79;16;5|79;16;5|,68;26;6|68;26;6|,68;26;6|68;26;6|,100|100|,0;0;0|0;0;0|,100|100|,68;26;6|68;26;6|,68;26;6|68;26;6|,100|100|,100|100|
6,100|100|,68;26;6|68;26;6|,0.0|0.0|,68;26;6|68;26;6|,61;25;14|61;25;14|,61;25;14|61;25;14|,100|100|,0;0;0|0;0;0|,100|100|,61;25;14|61;25;14|,61;25;14|61;25;14|,100|100|,100|100|
7,100|100|,61;25;14|61;25;14|,0.0|0.0|,61;25;14|61;25;14|,55;30;15|55;30;15|,55;30;15|55;30;15|,100|100|,0;0;0|0;0;0|,100|100|,55;30;15|55;30;15|,55;30;15|55;30;15|,100|100|,100|100|
8,100|100|,55;30;15|55;30;15|,0.0|0.0|,55;30;15|55;30;15|,46;30;24|46;30;24|,46;30;24|46;30;24|,100|100|,0;0;0|0;0;0|,100|100|,46;30;24|46;30;24|,46;30;24|46;30;24|,100|100|,100|100|
9,100|100|,46;30;24|46;30;24|,0.0|0.0|,46;30;24|46;30;24|,47;27;26|47;27;26|,47;27;26|47;27;26|,100|100|,0;0;0|0;0;0|,100|100|,47;27;26|47;27;26|,47;27;26|47;27;26|,100|100|,100|100|
10,100|100|,47;27;26|47;27;26|,0.0|0.0|,47;27;26|47;27;26|,47;25;28|47;25;28|,47;25;28|47;25;28|,100|100|,0;0;0|0;0;0|,100|100|,47;25;28|47;25;28|,47;25;28|47;25;28|,100|100|,100|100|
11,100|100|,47;25;28|47;25;28|,0.0|0.0|,47;25;28|47;25;28|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,0;0;0|0;0;0|,100|100|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,100|100|
12,100|100|,50;22;28|50;22;28|,0.0|0.0|,50;22;28|50;22;28|,52;20;28|52;20;28|,52;20;28|52;20;28|,100|100|,0;0;0|0;0;0|,100|100|,52;20;28|52;20;28|,52;20;28|52;20;28|,100|100|,100|100|
13,100|100|,52;20;28|52;20;28|,0.0|0.0|,52;20;28|52;20;28|,46;24;30|46;24;30|,46;24;30|46;24;30|,100|100|,0;0;0|0;0;0|,100|100|,46;24;30|46;24;30|,46;24;30|46;24;30|,100|100|,100|100|
14,100|100|,46;24;30|46;24;30|,0.0|0.0|,46;24;30|46;24;30|,39;22;39|39;22;39|,39;22;39|39;22;39|,100|100|,0;0;0|0;0;0|,100|100|,39;22;39|39;22;39|,39;22;39|39;22;39|,100|100|,100|100|
15,100|100|,39;22;39|39;22;39|,0.0|0.0|,39;22;39|39;22;39|,44;18;38|44;18;38|,44;18;38|44;18;38|,100|100|,0;0;0|0;0;0|,100|100|,44;18;38|44;18;38|,44;18;38|44;18;38|,100|100|,100|100|
16,100|100|,44;18;38|44;18;38|,0.0|0.0|,44;18;38|44;18;38|,43;22;35|43;22;35|,43;22;35|43;22;35|,100|100|,0;0;0|0;0;0|,100|100|,43;22;35|43;22;35|,43;22;35|43;22;35|,100|100|,100|100|
17,100|100|,43;22;35|43;22;35|,0.0|0.0|,43;22;35|43;22;35|,48;21;31|48;21;31|,48;21;31|48;21;31|,100|100|,0;0;0|0;0;0|,100|100|,48;21;31|48;21;31|,48;21;31|48;21;31|,100|100|,100|100|
18,100|100|,48;21;31|48;21;31|,0.0|0.0|,48;21;31|48;21;31|,47;24;29|47;24;29|,47;24;29|47;24;29|,100|100|,0;0;0|0;0;0|,100|100|,47;24;29|47;24;29|,47;24;29|47;24;29|,100|100|,100|100|
19,100|100|,47;24;29|47;24;29|,0.0|0.0|,47;24;29|47;24;29|,48;25;27|48;25;27|,48;25;27|48;25;27|,100|100|,0;0;0|0;0;0|,100|100|,48;25;27|48;25;27|,48;25;27|48;25;27|,100|100|,100|100|
20,100|100|,48;25;27|48;25;27|,0.0|0.0|,48;25;27|48;25;27|,42;24;34|42;24;34|,42;24;34|42;24;34|,100|100|,0;0;0|0;0;0|,100|100|,42;24;34|42;24;34|,42;24;34|42;24;34|,100|100|,100|100|
21,100|100|,42;24;34|42;24;34|,0.0|0.0|,42;24;34|42;24;34|,46;25;29|46;25;29|,46;25;29|46;25;29|,100|100|,0;0;0|0;0;0|,100|100|,46;25;29|46;25;29|,46;25;29|46;25;29|,100|100|,100|100|
22,100|100|,46;25;29|46;25;29|,0.0|0.0|,46;25;29|46;25;29|,45;21;34|45;21;34|,45;21;34|45;21;34|,100|100|,0;0;0|0;0;0|,100|100|,45;21;34|45;21;34|,45;21;34|45;21;34|,100|100|,100|100|
23,100|100|,45;21;34|45;21;34|,0.0|0.0|,45;21;34|45;21;34|,52;21;27|52;21;27|,52;21;27|52;21;27|,100|100|,0;0;0|0;0;0|,100|100|,52;21;27|52;21;27|,52;21;27|52;21;27|,100|100|,100|100|
24,100|100|,52;21;27|52;21;27|,0.0|0.0|,52;21;27|52;21;27|,45;27;28|45;27;28|,45;27;28|45;27;28|,100|100|,0;0;0|0;0;0|,100|100|,45;27;28|45;27;28|,45;27;28|45;27;28|,100|100|,100|100|
25,100|100|,45;27;28|45;27;28|,0.0|0.0|,45;27;28|45;27;28|,49;25;26|49;25;26|,49;25;26|49;25;26|,100|100|,0;0;0|0;0;0|,100|100|,49;25;26|49;25;26|,49;25;26|49;25;26|,100|100|,100|100|
26,100|100|,49;25;26|49;25;26|,0.0|0.0|,49;25;26|49;25;26|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,0;0;0|0;0;0|,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,100|100|
27,100|100|,46;31;23|46;31;23|,0.0|0.0|,46;31;23|46;31;23|,43;31;26|43;31;26|,43;31;26|43;31;26|,100|100|,0;0;0|0;0;0|,100|100|,43;31;26|43;31;26|,43;31;26|43;31;26|,100|100|,100|100|
