Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87;13;0|87;13;0|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
1,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80;18;2|80;18;2|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
2,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69;25;6|69;25;6|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
3,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58;34;8|58;34;8|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
4,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50;39;11|50;39;11|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
5,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38;45;17|38;45;17|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
6,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35;44;21|35;44;21|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
7,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28;45;27|28;45;27|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
8,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29;45;26|29;45;26|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
9,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29;43;28|29;43;28|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
10,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29;40;31|29;40;31|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
11,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34;35;31|34;35;31|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
12,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35;35;30|35;35;30|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
13,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34;37;29|34;37;29|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
14,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30;35;35|30;35;35|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
15,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34;26;40|34;26;40|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
16,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43;24;33|43;24;33|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
17,300.0|300.0|,1.0,100|100|,31.0|,0.0|,64|64|,36|36|,0|0|,0|0|,0|0|,0|0|,0|0|,0|0|,0,100,0,0|0|,0|0|,0|0|,0|0|,0|,0|0|,0|0|,300.0|300.0|,100|100|,0|0|,0|0|,0|0|,100|100|,0|0|,100|100|,0|,0|0|,0|0|,300.0|300.0|,0|0|,0|0|,0|0|,0|,100|100|,0|0|,100|100|,4|4|,0.4967999999999999|0.4967999999999999|,0.54|0.54|,0.46,0.54,0.54,0.46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42;26;32|42;26;32|,100|,0|,0|,0|,0|,0|,0,0,0,0,0,0
