Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,89;11;0|89;11;0|,0.0|0.0|,89;11;0|89;11;0|,84;15;1|84;15;1|,84;15;1|84;15;1|,100|100|,0;0;0|0;0;0|,100|100|,84;15;1|84;15;1|,84;15;1|84;15;1|,100|100|,100|100|
1,100|100|,84;15;1|84;15;1|,0.0|0.0|,84;15;1|84;15;1|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,0;0;0|0;0;0|,100|100|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,100|100|
2,100|100|,74;21;5|74;21;5|,0.0|0.0|,74;21;5|74;21;5|,66;25;9|66;25;9|,66;25;9|66;25;9|,100|100|,0;0;0|0;0;0|,100|100|,66;25;9|66;25;9|,66;25;9|66;25;9|,100|100|,100|100|
3,100|100|,66;25;9|66;25;9|,0.0|0.0|,66;25;9|66;25;9|,59;31;10|59;31;10|,59;31;10|59;31;10|,100|100|,0;0;0|0;0;0|,100|100|,59;31;10|59;31;10|,59;31;10|59;31;10|,100|100|,100|100|
4,100|100|,59;31;10|59;31;10|,0.0|0.0|,59;31;10|59;31;10|,50;35;15|50;35;15|,50;35;15|50;35;15|,100|100|,0;0;0|0;0;0|,100|100|,50;35;15|50;35;15|,50;35;15|50;35;15|,100|100|,100|100|
5,100|100|,50;35;15|50;35;15|,0.0|0.0|,50;35;15|50;35;15|,40;36;24|40;36;24|,40;36;24|40;36;24|,100|100|,0;0;0|0;0;0|,100|100|,40;36;24|40;36;24|,40;36;24|40;36;24|,100|100|,100|100|
6,100|100|,40;36;24|40;36;24|,0.0|0.0|,40;36;24|40;36;24|,36;37;27|36;37;27|,36;37;27|36;37;27|,100|100|,0;0;0|0;0;0|,100|100|,36;37;27|36;37;27|,36;37;27|36;37;27|,100|100|,100|100|
7,100|100|,36;37;27|36;37;27|,0.0|0.0|,36;37;27|36;37;27|,30;39;31|30;39;31|,30;39;31|30;39;31|,100|100|,0;0;0|0;0;0|,100|100|,30;39;31|30;39;31|,30;39;31|30;39;31|,100|100|,100|100|
8,100|100|,30;39;31|30;39;31|,0.0|0.0|,30;39;31|30;39;31|,31;39;30|31;39;30|,31;39;30|31;39;30|,100|100|,0;0;0|0;0;0|,100|100|,31;39;30|31;39;30|,31;39;30|31;39;30|,100|100|,100|100|
9,100|100|,31;39;30|31;39;30|,0.0|0.0|,31;39;30|31;39;30|,26;34;40|26;34;40|,26;34;40|26;34;40|,100|100|,0;0;0|0;0;0|,100|100|,26;34;40|26;34;40|,26;34;40|26;34;40|,100|100|,100|100|
10,100|100|,26;34;40|26;34;40|,0.0|0.0|,26;34;40|26;34;40|,31;29;40|31;29;40|,31;29;40|31;29;40|,100|100|,0;0;0|0;0;0|,100|100|,31;29;40|31;29;40|,31;29;40|31;29;40|,100|100|,100|100|
11,100|100|,31;29;40|31;29;40|,0.0|0.0|,31;29;40|31;29;40|,31;30;39|31;30;39|,31;30;39|31;30;39|,100|100|,0;0;0|0;0;0|,100|100|,31;30;39|31;30;39|,31;30;39|31;30;39|,100|100|,100|100|
12,100|100|,31;30;39|31;30;39|,0.0|0.0|,31;30;39|31;30;39|,31;33;36|31;33;36|,31;33;36|31;33;36|,100|100|,0;0;0|0;0;0|,100|100|,31;33;36|31;33;36|,31;33;36|31;33;36|,100|100|,100|100|
13,100|100|,31;33;36|31;33;36|,0.0|0.0|,31;33;36|31;33;36|,32;33;35|32;33;35|,32;33;35|32;33;35|,100|100|,0;0;0|0;0;0|,100|100|,32;33;35|32;33;35|,32;33;35|32;33;35|,100|100|,100|100|
14,100|100|,32;33;35|32;33;35|,0.0|0.0|,32;33;35|32;33;35|,35;31;34|35;31;34|,35;31;34|35;31;34|,100|100|,0;0;0|0;0;0|,100|100|,35;31;34|35;31;34|,35;31;34|35;31;34|,100|100|,100|100|
15,100|100|,35;31;34|35;31;34|,0.0|0.0|,35;31;34|35;31;34|,31;30;39|31;30;39|,31;30;39|31;30;39|,100|100|,0;0;0|0;0;0|,100|100|,31;30;39|31;30;39|,31;30;39|31;30;39|,100|100|,100|100|
16,100|100|,31;30;39|31;30;39|,0.0|0.0|,31;30;39|31;30;39|,33;28;39|33;28;39|,33;28;39|33;28;39|,100|100|,0;0;0|0;0;0|,100|100|,33;28;39|33;28;39|,33;28;39|33;28;39|,100|100|,100|100|
17,100|100|,33;28;39|33;28;39|,0.0|0.0|,33;28;39|33;28;39|,41;26;33|41;26;33|,41;26;33|41;26;33|,100|100|,0;0;0|0;0;0|,100|100|,41;26;33|41;26;33|,41;26;33|41;26;33|,100|100|,100|100|
18,100|100|,41;26;33|41;26;33|,0.0|0.0|,41;26;33|41;26;33|,44;25;31|44;25;31|,44;25;31|44;25;31|,100|100|,0;0;0|0;0;0|,100|100|,44;25;31|44;25;31|,44;25;31|44;25;31|,100|100|,100|100|
19,100|100|,44;25;31|44;25;31|,0.0|0.0|,44;25;31|44;25;31|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,0;0;0|0;0;0|,100|100|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,100|100|
