Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,2521|1868|1641|1367|1068|881|582|550|388|405|239|256|237|239|120|138|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,2521|1868|1641|1367|1068|881|582|550|388|405|239|256|237|239|120|138|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|2521|1868|1641|1367|1068|881|582|550|388|405|239|256|237|239|258|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|2521|1868|1641|1367|1068|881|582|550|388|405|239|256|237|239|258|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4960|2521|1868|1641|1367|1068|881|582|550|388|405|239|256|237|239|258|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4960|2521|1868|1641|1367|1068|881|582|550|388|405|239|256|237|239|258|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,223|1155|520|430|331|245|181|111|92|57|52|37|44|64|87|57|,4737|1366|1348|1211|1036|823|700|471|458|331|353|202|212|173|152|63|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4737|1366|1348|1211|1036|823|700|471|458|331|353|202|212|173|152|63|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4737|1366|1348|1211|1036|823|700|471|458|331|353|202|212|173|152|63|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4737|1366|1348|1211|1036|823|699|471|458|331|353|202|212|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4737|1366|1348|1211|1036|823|699|471|458|331|353|202|212|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4456|4737|1366|1348|1211|1036|823|699|471|458|331|353|202|212|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4456|4737|1366|1348|1211|1036|823|699|471|458|331|353|202|212|173|215|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,240|2222|388|364|304|239|177|139|82|75|46|57|38|65|65|74|,4216|2515|978|984|907|797|646|560|389|383|285|296|164|147|108|78|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4216|2515|978|984|907|797|646|560|389|383|285|296|164|147|108|78|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4216|2515|978|984|907|797|646|560|389|383|285|296|164|147|108|78|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4216|2515|978|984|907|797|646|560|389|383|285|296|164|147|186|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4216|2515|978|984|907|797|646|560|389|383|285|296|164|147|186|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4695|4216|2515|978|984|907|797|646|560|389|383|285|296|164|147|186|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4695|4216|2515|978|984|907|797|646|560|389|383|285|296|164|147|186|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,226|1979|741|266|248|216|171|125|100|58|59|48|59|49|53|47|,4469|2237|1774|712|736|691|626|521|460|331|324|237|237|115|94|61|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4469|2237|1774|712|736|691|626|521|460|331|324|237|237|115|94|61|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4469|2237|1774|712|736|691|626|521|460|331|324|237|237|115|94|61|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4469|2237|1774|712|736|691|626|521|460|331|324|237|237|115|155|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4469|2237|1774|712|736|691|626|521|460|331|324|237|237|115|155|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4616|4469|2237|1774|712|736|691|626|521|460|331|324|237|237|115|155|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4616|4469|2237|1774|712|736|691|626|521|460|331|324|237|237|115|155|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,171|2099|650|486|169|168|146|123|97|70|52|48|42|65|47|45|,4445|2370|1587|1288|543|568|545|503|424|390|279|276|195|172|68|49|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4445|2370|1587|1288|543|568|545|503|424|390|279|276|195|172|68|49|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4445|2370|1587|1288|543|568|545|503|424|390|279|276|195|172|68|49|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4445|2370|1587|1288|543|568|545|503|424|390|279|276|195|172|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4445|2370|1587|1288|543|568|545|503|424|390|279|276|195|172|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4673|4445|2370|1587|1288|543|568|545|503|424|390|279|276|195|172|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4673|4445|2370|1587|1288|543|568|545|503|424|390|279|276|195|172|117|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,146|2092|696|439|331|127|125|108|89|64|56|43|52|54|62|30|,4527|2353|1674|1148|957|416|443|437|414|360|334|236|224|141|110|38|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4527|2353|1674|1148|957|416|443|437|414|360|334|236|224|141|110|38|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4527|2353|1674|1148|957|416|443|437|414|360|334|236|224|141|110|38|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4527|2353|1673|1148|957|416|443|436|414|359|333|235|223|140|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4527|2353|1673|1148|957|416|443|436|414|359|333|235|223|140|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4692|4527|2353|1673|1148|957|416|443|436|414|359|333|235|223|140|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4692|4527|2353|1673|1148|957|416|443|436|414|359|333|235|223|140|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,64|2144|696|465|298|235|92|88|80|72|49|55|48|62|53|50|,4628|2383|1657|1208|850|722|324|355|356|342|310|278|187|161|87|60|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4628|2383|1657|1208|850|722|324|355|356|342|310|278|187|161|87|60|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4628|2383|1657|1208|850|722|324|355|356|342|310|278|187|161|87|60|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4628|2383|1656|1207|849|721|323|355|355|342|310|278|186|161|147|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4628|2383|1656|1207|849|721|323|355|355|342|310|278|186|161|147|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4704|4628|2383|1656|1207|849|721|323|355|355|342|310|278|186|161|147|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4704|4628|2383|1656|1207|849|721|323|355|355|342|310|278|186|161|147|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,71|2199|712|464|320|211|161|65|57|56|49|48|54|56|55|41|,4633|2429|1671|1192|887|638|560|258|298|299|293|262|224|130|106|46|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4633|2429|1671|1192|887|638|560|258|298|299|293|262|224|130|106|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4633|2429|1671|1192|887|638|560|258|298|299|293|262|224|130|106|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4633|2429|1667|1188|884|638|560|257|295|299|292|261|224|130|151|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4633|2429|1667|1188|884|638|560|257|295|299|292|261|224|130|151|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4756|4633|2429|1667|1188|884|638|560|257|295|299|292|261|224|130|151|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4756|4633|2429|1667|1188|884|638|560|257|295|299|292|261|224|130|151|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,99|2189|720|461|310|212|138|111|47|49|40|43|55|61|51|52|,4657|2444|1709|1206|878|672|500|449|210|246|259|249|206|163|79|53|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4657|2444|1709|1206|878|672|500|449|210|246|259|249|206|163|79|53|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4657|2444|1709|1206|878|672|500|449|210|246|259|249|206|163|79|53|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4657|2444|1707|1202|877|670|498|447|209|246|257|249|206|162|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4657|2444|1707|1202|877|670|498|447|209|246|257|249|206|162|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4688|4657|2444|1707|1202|877|670|498|447|209|246|257|249|206|162|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4688|4657|2444|1707|1202|877|670|498|447|209|246|257|249|206|162|132|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,59|2215|726|474|309|213|143|106|85|31|33|43|46|53|60|33|,4629|2442|1718|1233|893|664|527|392|362|178|213|214|203|153|102|46|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,4629|2442|1718|1233|893|664|527|392|362|178|213|214|203|153|102|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,4629|2442|1718|1233|893|664|527|392|362|178|213|214|203|153|102|46|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|4629|2436|1709|1232|889|662|527|391|361|176|212|213|202|152|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|4629|2436|1709|1232|889|662|527|391|361|176|212|213|202|152|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4649|4629|2436|1709|1232|889|662|527|391|361|176|212|213|202|152|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,4649|4629|2436|1709|1232|889|662|527|391|361|176|212|213|202|152|148|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,28|2202|730|483|324|222|156|109|71|58|23|33|44|60|58|43|,4621|2427|1706|1226|908|667|506|418|320|303|153|179|169|142|94|59|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
